StdInChIKey,SMILES,Dataset1,LogS1,T1,Dataset2,LogS2,T2,Dataset3,LogS3,T3,N_datapoints,SD_error,Error_note,Pred_comment,LogS Changed?,LogS_mean,LogS_median
AASRJJKRVOUFBO-UHFFFAOYSA-N,C(Cl)(S(=O)(=O)O)(S(=O)(=O)O)S(=O)(=O)O,Aq_Sol_DB,0.5366,,reaxys_water,0.942613793,25,,,,2,,,,,0.739606897,0.739606897
AAWZDTNXLSGCEK-UHFFFAOYSA-N,C1C(C(C(CC1(C(=O)O)O)O)O)O,Aq_Sol_DB,0.179,,,,,,,,1,,,,,0.179,0.179
AAXVEMMRQDVLJB-BULBTXNYSA-N,CC12CCC(=O)C=C1CCC1C3CCC(C(=O)CO)(C3(C)CC(C21F)O)O,reaxys_water,-1.489448183,25,Aq_Sol_DB,-3.4342,,,,,2,,,,,-2.461824092,-2.461824092
ABDKAPXRBAPSQN-UHFFFAOYSA-N,COc1ccccc1OC,Aq_Sol_DB,-1.314975067,,,,,,,,1,,,,,-1.314975067,-1.314975067
ABICJYZKIYUWEE-UHFFFAOYSA-N,C1(C(=O)NC(=O)NC1=O)[N+](=O)[O-],ons_water,-2.28,,Aq_Sol_DB,-2.284,,,,,2,,,,,-2.282,-2.282
ABJFBJGGLJVMAQ-UHFFFAOYSA-N,c1ccc2c(c1)[nH]c(=O)c(=O)[nH]2,Aq_Sol_DB,-2.812,,,,,,,,1,,,,,-2.812,-2.812
ABLLZVRKYUXMHV-UHFFFAOYSA-N,CCCC(=O)n1c2c(cn1)c(=O)[nH]cn2,Aq_Sol_DB,-3.27,,,,,,,,1,,,,,-3.27,-3.27
ABMNRGKJROAQAL-IJLUTSLNSA-N,c1cc(ccc1C1=Nn2c(C(C(C(CO)O)O)O)nnc2SC1)Br,reaxys_water,-2.487993652,20,,,,,,,1,,,,,-2.487993652,-2.487993652
ABMPWHSFSWXTHF-UHFFFAOYSA-N,CC(C)(C)n1cc(c(=O)c2cc(c(nc12)N1CC2CCC1CN2C)F)C(=O)O,reaxys_water,-3.097964488,22,,,,,,,1,,,,,-3.097964488,-3.097964488
ABOOPXYCKNFDNJ-UHFFFAOYSA-N,CC(C(=O)O)Oc1ccc(cc1)Oc1cnc2cc(ccc2n1)Cl,Aq_Sol_DB,-6.0604,,,,,,,,1,,,,,-6.0604,-6.0604
ABQKHKWXTUVKGF-UHFFFAOYSA-N,Cc1ccc(cc1)N=C=S,Aq_Sol_DB,-4.7213,,,,,,,,1,,,,,-4.7213,-4.7213
ABRDPORILGADAP-UHFFFAOYSA-N,c1cc(c(c(c1)Oc1ccc(c(c1Cl)Cl)Cl)Cl)Cl,Aq_Sol_DB,-7.38,,,,,,,,1,,,,,-7.38,-7.38
ABRIMXGLNHCLIP-VURMDHGXSA-N,C1CCC=CCCCC(=O)CCCCCCC1,Aq_Sol_DB,-5.560732278,,,,,,,,1,,,,,-5.560732278,-5.560732278
ABTUPTPDCSVHOI-UHFFFAOYSA-N,C1CCCCCCCCC(=O)NCCCCCCCC1,Aq_Sol_DB,-2.8474,,reaxys_water,-2.847390637,22,,,,2,,,,,-2.847395319,-2.847395319
ABVWCZFYRJJFFG-UHFFFAOYSA-N,CCC(=O)OCc1ccc(cc1Cl)Cl,Aq_Sol_DB,-3.0665,,,,,,,,1,,,,,-3.0665,-3.0665
ABXGMGUHGLQMAW-UHFFFAOYSA-N,CC(=O)c1cccc(c1)C(F)(F)F,Aq_Sol_DB,-2.482107917,,,,,,,,1,,,,,-2.482107917,-2.482107917
ABYZYVAIOYICJQ-UHFFFAOYSA-N,c1cc(c(c(c1)Oc1cc(c(cc1Cl)Cl)Cl)Cl)Cl,Aq_Sol_DB,-7.48,,,,,,,,1,,,,,-7.48,-7.48
ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(C)(C)O,Aq_Sol_DB,-1.7168,,,,,,,,1,,,,,-1.7168,-1.7168
ACCBGMZOEFJHJZ-UHFFFAOYSA-N,c1ccc(cc1)Nc1nc2c(c(=O)[nH]1)ncn2CC(CSCCO)O,reaxys_water,-4.524594434,25,,,,,,,1,,,,,-4.524594434,-4.524594434
ACEYAMOAGUDVAQ-UHFFFAOYSA-N,CCC(CC)(C(=O)N)Br,Aq_Sol_DB,-1.44,,,,,,,,1,,,,,-1.44,-1.44
ACFDLHBDXXPXBY-UHFFFAOYSA-N,COC(=O)C1(CCC1)S(=O)(=O)c1ccccc1,Aq_Sol_DB,-3.0005,,,,,,,,1,,,,,-3.0005,-3.0005
ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)NN=Cc1ccc([N+](=O)[O-])o1,Aq_Sol_DB,-2.5958,,,,,,,,1,,,,,-2.5958,-2.5958
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,Aq_Sol_DB,-3.4634,,,,,,,,1,,,,,-3.4634,-3.4634
ACJNABKXDUDYAM-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)Nc1ccc(cc1)[N+](=O)[O-],Aq_Sol_DB,-3.94,,,,,,,,1,,,,,-3.94,-3.94
ACUPDOXCXXCPIX-LUAWRHEFSA-N,CNC(=O)C(=c1c2ccccc2c(=C2C(=O)NC(=O)NC2=O)[nH]1)C#N,Aq_Sol_DB,-7.528009903,,,,,,,,1,,,Extra Stability from conjugated system; lower solubility than expected. Confirmatory solubility measurement required.,N,-7.528009903,-7.528009903
ACVNMTOONYGQIK-UHFFFAOYSA-N,C1CCN(C1)Cc1c(c(=O)[nH]c(=O)[nH]1)Br,Aq_Sol_DB,-1.78,,reaxys_water,-1.775178138,23,,,,2,,,,,-1.777589069,-1.777589069
ACVNYUMGXUDACR-UHFFFAOYSA-N,CC1=CCCC(C)(C)C1C(C)CCC=O,Aq_Sol_DB,-4.653202091,,,,,,,,1,,,,,-4.653202091,-4.653202091
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)C(C(C)C)C(=O)O,Aq_Sol_DB,-2.735926094,,reaxys_water,-2.851553612,25,,,,2,,,,,-2.793739853,-2.793739853
ACWBQPMHZXGDFX-UHFFFAOYSA-N,CCCCC(=O)N(Cc1ccc(cc1)c1ccccc1c1[nH]nnn1)C(C(C)C)C(=O)O,Aq_Sol_DB,-4.2,,,,,,,,1,,,,,-4.2,-4.2
ACWQBUSCFPJUPN-HWKANZROSA-N,CC=C(C)C=O,Aq_Sol_DB,-0.527,,,,,,,,1,,,,,-0.527,-0.527
ACYOLKMEHHTLAB-UHFFFAOYSA-N,Cc1c2ccccc2cc2ccc3ccccc3c12,Aq_Sol_DB,-6.5648,,reaxys_water,-6.564845325,27,,,,2,,,,,-6.564822663,-6.564822663
ADCBKYIHQQCFHE-UHFFFAOYSA-N,CN(c1ccccc1)C(=O)N(C)c1ccccc1,Aq_Sol_DB,-3.497557581,,,,,,,,1,,,,,-3.497557581,-3.497557581
ADCUEPOHPCPMCE-UHFFFAOYSA-N,c1cc(ccc1C#N)C(=O)O,Aq_Sol_DB,-2.0885,,,,,,,,1,,,,,-2.0885,-2.0885
ADEWRNMPMKZRKB-AWEZNQCLSA-N,c1cc(ccc1c1cnc(COC2Cn3cc(nc3OC2)N(=O)=O)nc1)OC(F)(F)F,reaxys_water,-4.814739433,20,,,,,,,1,,,,,-4.814739433,-4.814739433
ADIMAYPTOBDMTL-UHFFFAOYSA-N,c1ccc(cc1)C1=NC(C(=O)Nc2ccc(cc12)Cl)O,reaxys_water,-4.156424963,22,ons_water,-3.95,,Aq_Sol_DB,-3.952,,3,0.118606373,,,,-4.019474988,-3.952
ADQDGWUWSKBXJS-UHFFFAOYSA-N,CCOC(=O)N(c1ccccc1)NC(=O)N,reaxys_water,-2.070002849,20,,,,,,,1,,,,,-2.070002849,-2.070002849
ADRYPAGQXFMVFP-UHFFFAOYSA-N,c1cc2cccc(c2c(c1)Cl)Cl,Aq_Sol_DB,-5.7963,,,,,,,,1,,,,,-5.7963,-5.7963
ADTDBAKUQAKBGZ-UHFFFAOYSA-N,c1ccc2c(c1)C13CCN4(=O)CC5=CCOC6CC(=O)N2C3C6C5CC14,reaxys_water,-1.275072223,22,ons_water,-1.275,,,,,2,,,,,-1.275036112,-1.275036112
ADVGKWPZRIDURE-UHFFFAOYSA-N,CC(=O)Nc1ccccc1O,Aq_Sol_DB,-2.13,,,,,,,,1,,,,,-2.13,-2.13
ADXAXAXRYZPBNQ-UHFFFAOYSA-N,CC(C(=O)NCCCCCCNC(=O)C(C)O)O,Aq_Sol_DB,-0.7,,reaxys_water,-0.699527548,20,ons_water,-0.7,,3,0.00027277,,,,-0.699842516,-0.7
ADZLJYXPHYDHJU-UHFFFAOYSA-N,Cn1cnc2c(c1=O)nccn2,Aq_Sol_DB,-1.07,,,,,,,,1,,,,,-1.07,-1.07
ADZSGNDOZREKJK-UHFFFAOYSA-N,CCSc1nnc(c(=O)n1N)C(C)(C)C,Aq_Sol_DB,-2.7353,,,,,,,,1,,,,,-2.7353,-2.7353
AEBJDOTVYMITIA-UHFFFAOYSA-N,c1c(cc(c(c1Cl)[N+](=O)[O-])Cl)Cl,Aq_Sol_DB,-4.5591,,,,,,,,1,,,,,-4.5591,-4.5591
AEDNMSDIHOZVTQ-UHFFFAOYSA-N,CCN(C1CC(C)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C(=O)CNC,Aq_Sol_DB,-1.21,,,,,,,,1,,,,,-1.21,-1.21
AEEGJNJYJCGJFZ-LURJTMIESA-N,CC(C)COC(=O)C(C)Cl,Aq_Sol_DB,-2.51754425,,,,,,,,1,,,,,-2.51754425,-2.51754425
AEFOLTVWSRMXMW-UHFFFAOYSA-N,C=CC1CN2CCC1CC2C(=O)c1ccnc2ccccc12,Aq_Sol_DB,-3.19,,,,,,,,1,,,,,-3.19,-3.19
AEIJTFQOBWATKX-UHFFFAOYSA-N,CCCCCCC(CO)O,Aq_Sol_DB,-1.289975217,,,,,,,,1,,,,,-1.289975217,-1.289975217
AEMFNILZOJDQLW-QAGGRKNESA-N,CC12CCC(=O)C=C1CCC1C3CCC(=O)C3(C)CCC21,Aq_Sol_DB,-3.6949,,reaxys_water,-3.753702864,23,,,,2,,,,,-3.724301432,-3.724301432
AEMRFAOFKBGASW-UHFFFAOYSA-N,C(C(=O)O)O,Aq_Sol_DB,0.596016326,,,,,,,,1,,,,,0.596016326,0.596016326
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(ccn1)C(=S)N,reaxys_water,-2.533224856,25,,,,,,,1,,,,,-2.533224856,-2.533224856
AEUTYOVWOVBAKS-UHFFFAOYSA-N,CCC(CO)NCCNC(CC)CO,Aq_Sol_DB,0.57,,,,,,,,1,,,,,0.57,0.57
AEXMKKGTQYQZCS-UHFFFAOYSA-N,CCC(C)(C)CC,Aq_Sol_DB,-4.2286,,ons_water,-4.23,,,,,2,,,,,-4.2293,-4.2293
AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,Aq_Sol_DB,-3.74,,,,,,,,1,,,,,-3.74,-3.74
AFBPFSWMIHJQDM-UHFFFAOYSA-N,CNc1ccccc1,Aq_Sol_DB,-1.2803,,,,,,,,1,,,,,-1.2803,-1.2803
AFDXODALSZRGIH-QPJJXVBHSA-N,COc1ccc(cc1)C=CC(=O)O,Aq_Sol_DB,-2.3984,,,,,,,,1,,,,,-2.3984,-2.3984
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C=CCCCCCCCC,ons_water,-5.51,,Aq_Sol_DB,-5.51,,,,,2,,,,,-5.51,-5.51
AFGBRTKUTJQHIP-UHFFFAOYSA-N,CC(C)C(C(=O)O)N1CCCNC1=O,Aq_Sol_DB,-1.102861926,,,,,,,,1,,,,,-1.102861926,-1.102861926
AFGCRUGTZPDWSF-BYPYZUCNSA-N,CCOCC(C(=O)O)N,Aq_Sol_DB,0.524,,,,,,,,1,,,,,0.524,0.524
AFHJQYHRLPMKHU-WEZNYRQKSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1C(C(C(C(CO)O1)O)O)O,Aq_Sol_DB,-1.7025,,,,,,,,1,,,,,-1.7025,-1.7025
AFIIBUOYKYSPKB-UHFFFAOYSA-N,CC(C)Nc1nc(nc(n1)SC)N=N#N,Aq_Sol_DB,-3.48,,,,,,,,1,,,,,-3.48,-3.48
AFJWMGOTLUUGHF-UHFFFAOYSA-N,C1CCC2=C(C1)C(=O)NC2=O,Aq_Sol_DB,-1.974517726,,,,,,,,1,,,,,-1.974517726,-1.974517726
AFOGBLYPWJJVAL-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccccc1,ons_water,-3.05,,Aq_Sol_DB,-3.05,,,,,2,,,,,-3.05,-3.05
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,Aq_Sol_DB,-1.745907172,,ons_water,-1.71997,,,,,2,,,,,-1.732938586,-1.732938586
AFQYFVWMIRMBAE-UHFFFAOYSA-N,CC(C)(C)COC(=O)N,ons_water,-0.8,,Aq_Sol_DB,-0.8,,,,,2,,,,,-0.8,-0.8
AFSIMBWBBOJPJG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OC=C,Aq_Sol_DB,-6.15,,,,,,,,1,,,,,-6.15,-6.15
AFSYRVDDZGJTIL-UHFFFAOYSA-N,CC(CCOCCC(C)O)O,Aq_Sol_DB,0.7899,,,,,,,,1,,,,,0.7899,0.7899
AFUKNJHPZAVHGQ-UHFFFAOYSA-N,COc1ccc(c(c1)C=O)OC,Aq_Sol_DB,-2.3202,,,,,,,,1,,,,,-2.3202,-2.3202
AFVFQIVMOAPDHO-UHFFFAOYSA-N,CS(=O)(=O)O,Aq_Sol_DB,1.017244979,,,,,,,,1,,,,,1.017244979,1.017244979
AFVRYMPIZFJJIL-UHFFFAOYSA-N,c1cc2c(ccc(c2nc1)S(=O)(=O)O)N,Aq_Sol_DB,-2.71,,ons_water,-2.707,,reaxys_water,-2.707260408,20,3,0.001661986,,,,-2.708086803,-2.707260408
AFVUGDZUMJEIHX-UHFFFAOYSA-N,CCC(CC)(C(=O)N)Cl,Aq_Sol_DB,-1.0289,,,,,,,,1,,,,,-1.0289,-1.0289
AFYCEAFSNDLKSX-UHFFFAOYSA-N,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,reaxys_water,-4.000552387,25,ons_water,-4.001,,Aq_Sol_DB,-4,,3,0.000500914,,,,-4.000517462,-4.000552387
AFYPFACVUDMOHA-UHFFFAOYSA-N,C(Cl)(F)(F)F,Aq_Sol_DB,-3.0647,,reaxys_water,-5.785949754,24.99,,,,2,,,,,-4.425324877,-4.425324877
AFZSMODLJJCVPP-UHFFFAOYSA-N,c1ccc2c(c1)nc(s2)SSc1nc2ccccc2s1,Aq_Sol_DB,-4.5218,,,,,,,,1,,,,,-4.5218,-4.5218
AFZZFBZPHUDOLV-UHFFFAOYSA-N,c1ccc2c(c1)cccc2NCCCN1CCOCC1,Aq_Sol_DB,-2.702803349,,,,,,,,1,,,,,-2.702803349,-2.702803349
AFZZYIJIWUTJFO-UHFFFAOYSA-N,CCc1cccc(CC)c1,Aq_Sol_DB,-3.7476,,,,,,,,1,,,,,-3.7476,-3.7476
AGAHNABIDCTLHW-UHFFFAOYSA-N,Cc1ccc(cc1)C1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)O,Aq_Sol_DB,-4.35,,reaxys_water,-4.34666098,20,ons_water,-4.347,,3,0.001837752,,,,-4.347886993,-4.347
AGASSTHGGSUOOL-UHFFFAOYSA-N,Cc1cn2c(=O)c3c(nc2[nH]1)n(COCCO)c(Br)n3,reaxys_water,-2.675720384,25,,,,,,,1,,,,,-2.675720384,-2.675720384
AGBQKNBQESQNJD-UHFFFAOYSA-N,C(CCC(=O)O)CC1CCSS1,Aq_Sol_DB,-2.375047335,,,,,,,,1,,,,,-2.375047335,-2.375047335
AGCQZYRSTIRJFM-UHFFFAOYSA-N,C(COCCO[N+](=O)[O-])OCCO[N+](=O)[O-],Aq_Sol_DB,-1.561,,,,,,,,1,,,,,-1.561,-1.561
AGDYNDJUZRMYRG-UHFFFAOYSA-N,CCCCCCO[N+](=O)[O-],Aq_Sol_DB,-3.1265,,,,,,,,1,,,,,-3.1265,-3.1265
AGEFUZCBLJQXIA-UHFFFAOYSA-N,CCCOC(=O)C1CCCCC1C(=O)OCCC,Aq_Sol_DB,-3.262691733,,,,,,,,1,,,,,-3.262691733,-3.262691733
AGIKBILZJVNZNW-UHFFFAOYSA-N,C1CCc2cc3c(cc2C1)c(=O)cc(C(=O)O)o3,Aq_Sol_DB,-1.05,,,,,,,,1,,,,,-1.05,-1.05
AGJOAIMUXIQLCN-UHFFFAOYSA-N,Cc1ccc(cc1)NO,Aq_Sol_DB,-0.7894,,,,,,,,1,,,,,-0.7894,-0.7894
AGKBXKFWMQLFGZ-UHFFFAOYSA-N,Cc1ccc(cc1)C(=O)OOC(=O)c1ccc(C)cc1,Aq_Sol_DB,-6.798351882,,,,,,,,1,,,,,-6.798351882,-6.798351882
AGKSTYPVMZODRV-UHFFFAOYSA-N,c1cc(ccc1CSC(=Nc1ccc(cc1Cl)Cl)Cn1cncn1)Cl,Aq_Sol_DB,-5.3842,,,,,,,,1,,,,,-5.3842,-5.3842
AGMMTXLNIQSRCG-UHFFFAOYSA-N,CCC1Nc2cc(c(cc2C(=O)N1)S(=O)(=O)N)Cl,ons_water,-3.29,,Aq_Sol_DB,-3.2859,,,,,2,,,,,-3.28795,-3.28795
AGPKZVBTJJNPAG-CRCLSJGQSA-N,CCC(C)C(C(=O)O)N,Aq_Sol_DB,-0.7875,,,,,,,,1,,,,,-0.7875,-0.7875
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Aq_Sol_DB,-3.5889,,,,,,,,1,,,,,-3.5889,-3.5889
AGVNLFCRZULMKK-UHFFFAOYSA-N,CC(=O)N1CCN(CC1)c1ccc(cc1)O,Aq_Sol_DB,-1.817914488,,,,,,,,1,,,,,-1.817914488,-1.817914488
AGYUOJIYYGGHKV-UHFFFAOYSA-N,C(COCCOCCCl)Cl,Aq_Sol_DB,-0.9955,,,,,,,,1,,,,,-0.9955,-0.9955
AHDSRXYHVZECER-UHFFFAOYSA-N,CN(C)Cc1cc(CN(C)C)c(c(c1)CN(C)C)O,Aq_Sol_DB,0.505516371,,,,,,,,1,,,,,0.505516371,0.505516371
AHHFEZNOXOZZQA-UHFFFAOYSA-N,COC1C(C(C(C(CNC(=O)N(CCCl)N=O)O1)O)O)O,Aq_Sol_DB,-1.5613,,,,,,,,1,,,,,-1.5613,-1.5613
AHHWIHXENZJRFG-UHFFFAOYSA-N,C1COC1,Aq_Sol_DB,1.236,,,,,,,,1,,,,,1.236,1.236
AHIPJALLQVEEQF-UHFFFAOYSA-N,c1cc(ccc1N(CC1CO1)CC1CO1)OCC1CO1,Aq_Sol_DB,-1.919234725,,,,,,,,1,,,,,-1.919234725,-1.919234725
AHJKRLASYNVKDZ-UHFFFAOYSA-N,c1cc(ccc1C(c1ccc(cc1)Cl)C(Cl)Cl)Cl,ons_water,-7.199998,,Aq_Sol_DB,-7.2,,,,,2,,,,,-7.199999,-7.199999
AHOKCVUTHKNVPX-QJZQXKNGSA-N,CN1CCN(CC1)CN1C(=O)C2C3C=CC(C4C3C3C4C(=O)N(CN4CCN(C)CC4)C3=O)C2C1=O,reaxys_water,-1.519924201,20,,,,,,,1,,,,,-1.519924201,-1.519924201
AHSNWUAHWPTIFM-UHFFFAOYSA-N,CCCC(=O)Oc1ccc(cc1)NC(=O)C,Aq_Sol_DB,-2.83,,,,,,,,1,,,,,-2.83,-2.83
AHTPATJNIAFOLR-UHFFFAOYSA-N,Cc1nc(NC(=O)NS(=O)(=O)c2ccsc2C(=O)OC)nc(n1)OC,Aq_Sol_DB,-2.2379,,,,,,,,1,,,,,-2.2379,-2.2379
AHYLFQRWOBJBTE-UHFFFAOYSA-N,CCCOC(=O)Oc1ccc(cc1)NC(=O)C,Aq_Sol_DB,-2.57,,reaxys_water,-3.366538568,23,,,,2,,,,,-2.968269284,-2.968269284
AHZMUXQJTGRNHT-UHFFFAOYSA-N,CC(C)(c1ccc(cc1)OC#N)c1ccc(cc1)OC#N,Aq_Sol_DB,-5.469558378,,,,,,,,1,,,,,-5.469558378,-5.469558378
AIFRHYZBTHREPW-UHFFFAOYSA-N,c1ccc2c(c1)c1ccncc1[nH]2,Aq_Sol_DB,-3.73,,,,,,,,1,,,,,-3.73,-3.73
AIGRXSNSLVJMEA-UHFFFAOYSA-N,CCOP(=S)(c1ccccc1)Oc1ccc(cc1)[N+](=O)[O-],Aq_Sol_DB,-5.0169,,,,,,,,1,,,,,-5.0169,-5.0169
AIJKWDCJBLVTGU-OAHLLOKOSA-N,c1cc(COC2Cn3cc(nc3OC2)N(=O)=O)c(c2ccc(cc2)OC(F)(F)F)nc1,reaxys_water,-5.932261818,20,,,,,,,1,,,,,-5.932261818,-5.932261818
AIKAOGTVMFOQKJ-UHFFFAOYSA-N,CC(C)C(=O)Oc1ccc(cc1)N(=O)=O,reaxys_water,-3.958837996,23,Aq_Sol_DB,-3.9588,,,,,2,,,,,-3.958818998,-3.958818998
AIKKULXCBHRFOS-UHFFFAOYSA-N,CN(C=O)C(=O)CSP(=S)(OC)OC,ons_water,-2,,Aq_Sol_DB,-1.9954,,,,,2,,,,,-1.9977,-1.9977
AIOHBDYXYKMBIF-UHFFFAOYSA-N,CC(C)CCOCC(CO)O,Aq_Sol_DB,-1.2101,,,,,,,,1,,,,,-1.2101,-1.2101
AIONOLUJZLIMTK-AWEZNQCLSA-N,COc1ccc(cc1O)C1CC(=O)c2c(cc(cc2O1)O)O,ons_water,-5.346788,,reaxys_water,-1.346786848,25.04,,,,2,,,,,-3.346787424,-3.346787424
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,ons_water,-4.7,,Aq_Sol_DB,-4.7,,,,,2,,,,,-4.7,-4.7
AIUNWFBYULOSRS-VIFPVBQESA-N,c1ccc(cc1)C(C(=O)O)SCC(=O)O,reaxys_water,-1.155937259,25,,,,,,,1,,,,,-1.155937259,-1.155937259
AIURIRUDHVDRFQ-UHFFFAOYSA-N,c1ccc(c(c1)c1cc(c(c(c1Cl)Cl)Cl)Cl)Cl,ons_water,-7.209997,,Aq_Sol_DB,-7.5226,,,,,2,,,,,-7.3662985,-7.3662985
AIVVKKOTAISCNQ-UHFFFAOYSA-N,C(C(C(=O)O)S)S,Aq_Sol_DB,-0.2374,,,,,,,,1,,,,,-0.2374,-0.2374
AIVXUNRQBRKFJO-UHFFFAOYSA-N,C1CSc2cc(sc2C1=O)S(=O)(=O)N,ons_water,-3.494,,Aq_Sol_DB,-3.49,,reaxys_water,-3.493693259,25,3,0.002226142,,,,-3.49256442,-3.493693259
AIWAFUBJIYAIGI-UHFFFAOYSA-N,CCCC(=O)NCCNC(=O)CCC,ons_water,-0.622,,reaxys_water,-0.622211855,25,Aq_Sol_DB,-0.6222,,3,0.00011904,,,,-0.622137285,-0.6222
AIXZBGVLNVRQSS-UHFFFAOYSA-N,CC(C)(C)c1ccc2c(c1)nc(c1ccc(c3nc4cc(ccc4o3)C(C)(C)C)s1)o2,Aq_Sol_DB,-5.634046793,,,,,,,,1,,,,,-5.634046793,-5.634046793
AIZPFZIKHIJCQX-UHFFFAOYSA-N,c1cc(ccc1CCc1c[nH]c2c1c(=O)[nH]c(N)n2)C(=O)O,Aq_Sol_DB,-3.574289036,,,,,,,,1,,,,,-3.574289036,-3.574289036
AJDIZQLSFPQPEY-UHFFFAOYSA-N,C(C(Cl)(F)F)(Cl)(Cl)F,Aq_Sol_DB,-3.0423,,reaxys_water,-3.003201019,25,,,,2,,,,,-3.02275051,-3.02275051
AJHCSUXXECOXOY-NSHDSACASA-N,c1ccc2c(c1)c(CC(C(=O)O)NC(=O)CN)c[nH]2,ons_water,-1.8856,,,,,,,,1,,,,,-1.8856,-1.8856
AJJGRBMYVRSEES-UHFFFAOYSA-N,CC(C)OCC(COC(C)C)O,Aq_Sol_DB,0.0549,,,,,,,,1,,,,,0.0549,0.0549
AJKLKINFZLWHQE-UHFFFAOYSA-N,c1c(cc(c(c1c1cc(cc(c1Cl)Cl)Cl)Cl)Cl)Cl,Aq_Sol_DB,-8.56,,ons_water,-6.959999,,,,,2,,,,,-7.7599995,-7.7599995
AJLFOPYRIVGYMJ-UHFFFAOYSA-N,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(CC(=O)O3)O)C12,Aq_Sol_DB,-5.42,,,,,,,,1,,,,,-5.42,-5.42
AJMJPGWUPHIMKQ-UHFFFAOYSA-N,CCCC(=O)OCCOCCOCCOC(=O)CCC,Aq_Sol_DB,-1.5598,,,,,,,,1,,,,,-1.5598,-1.5598
