StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
ASWVTGNCAZCNNR-UHFFFAOYSA-N,sulfadimesine; sulfamethazin; Sulfamethazine,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,Solubility: 0.001834 molpercent,-3.605907144,A,24.99,193.893,278.335,196.75,-1233.343966,-1233.363544,-0.01957758,-1233.13572,-1233.156278,-0.020558,6.5009,9.3285,-0.22952,0.21169,-0.04632,0.20155,500.074585,-1.93409,-1.79514,-0.9776,2.3299,-2.43064,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
AUHHYELHRWCWEZ-UHFFFAOYSA-N,"tetrachlorophthalic anhydride; 3,4,5,6-Tetrachlorophthalic anhydride; Tetrachlorophthalic anhydride; 4,5,6,7-tetrachloroisobenzofuran-1,3-dione; 3,4,5,6-Tetrachlorphthalsaeureanhydrid; 3,4,5,6-tetrachloro-phthalic anhydride; 1,2,3,4-tetrachlorophthalic anhydride",ClC1=C(Cl)C(Cl)=C(Cl)C2=C1C(=O)OC2=O,100 g solvent dissolves. 3.1 g Substance.,-1.069979767,C,25,123.973,285.898,254.95,-2371.321213,-2371.331893,-0.0106802,-2371.298197,-2371.309158,-0.010961,4.0238,5.2101,-0.29508,0.1264,-0.13161,0.26711,376.2602844,-1.60644,1.20014,-0.54554,0.82343,-1.19937,15,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
AVCSMMMOCOTIHF-UHFFFAOYSA-N,"1,8-dinitronaphthalene; 1,8-dinitro-naphthalene; 1,8-Dinitro-naphthalin",O=N(=O)C1=CC=CC2=CC=CC(=C12)N(=O)=O,100 g solvent dissolves. 7.003 g Substance.,-0.598639258,D,16,151.574,218.169,171,-794.9038746,-794.9199755,-0.016100928,-794.7902,-794.806246,-0.016046,8.6813,12.0003,-0.26943,0.14247,-0.11554,0.24146,372.9499207,-1.58239,-1.0735,-0.40523,0.50469,-0.57302,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
AVDDMQBDJTYCIR-UHFFFAOYSA-N,"N,N?-(1,4-phenylene)dipyrazine-2-carboxamide",O=C(NC1=CC=C(NC(=O)C2=CN=CC=N2)C=C1)C1=CN=CC=N1,0.1,-3.505570497,A,NA,220.355,320.31,364.5,-1095.949736,-1095.968014,-0.01827804,-1095.73079,-1095.749038,-0.018248,7.4212,10.6309,-0.2191,0.16586,-0.09215,0.19113,559.9033813,-1.32307,0.76506,-0.66155,0.65419,-4.2843,36,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
AVSXSVCZWQODGV-DPAQBDIFSA-N,"demosterol; cholesta-5,24-dien-3beta-ol; 24-Dehydrocholesterol; cholest-5,20,24-trien-3beta-ol; cholesta-5,24-dien-3beta-ol; 24-dehydrocholesterol; desmosterol",[H][C@@](C)(CC\C=C(/C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,57.3507,-0.826522497,D,27.54,361.402,384.646,120.75,-1130.615562,-1130.622859,-0.00729696,-1130.013136,-1130.021576,-0.00844,1.8319,2.3005,-0.23287,0.25355,-0.00446,0.2049,696.8135986,-0.80228,-9.9648,-0.80228,0.50818,-0.80228,72,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
BBUVDDPUURMFOX-SAABIXHNSA-N,"2-hydroxy-1-(2-((9-((1r,4r)-4-methylcyclohexyl)-9H-pyrido[4?,3?:4,5]pyrrolo[2,3-d]pyrimidin-2-yl)amino)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl)ethanone; 2-hydroxy-1-(2-((9-((1R,4R)-4-methylcyclohexyl)-9H-pyrido[4',3':4,5]pyrrolo[2,3-d]pyrimidin-2-yl)amino)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl)ethanone; AMG 925; 2-hydroxy-1-[2-({9-[(1r,4r)-4-methylcyclohexyl]-9H-pyrido[4',3':4,5]pyrrolo[2,3-d]pyrimidin-2-yl}amino)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl]ethanone",C[C@H]1CC[C@@H](CC1)N1C2=NC(NC3=NC4=C(CN(CC4)C(=O)CO)C=C3)=NC=C2C2=C1C=NC=C2,1,-2.673538801,B,20,346.818,471.562,214,-1542.036255,-1542.068124,-0.03186956,-1541.569493,-1541.601009,-0.031516,7.8632,11.0073,-0.22082,0.19362,-0.06439,0.19285,784.4058228,-1.46467,-2.64019,-0.78075,0.67845,-5.04113,64,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BEJNERDRQOWKJM-UHFFFAOYSA-N,5-hydroxy-2- (hydroxymethyl)-4H-pyran-4-one; kojic acid; 5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one; Kojic acid,OCC1=CC(=O)C(O)=CO1,Solubility: 0.0106 mol-percent,-2.84400061,B,23,87.082,142.111,152,-533.109535,-533.1319976,-0.022462663,-533.027206,-533.049489,-0.022283,6.0014,8.0766,-0.24546,0.19845,-0.05956,0.21749,308.8336792,-2.60396,0.55421,-0.79287,0.52857,-2.60396,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
BEKZHETVNVFYCV-UHFFFAOYSA-N,"1,3,8-trinitronaphthalene; 1,3,8-trinitro-naphthalene; 1,3,8-Trinitro-naphthalin; 1,3,8-Trinitronaphthalin",O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O,100 g solvent dissolves. 3.187 g Substance.,-1.021978059,C,15,140.986,263.166,218,-999.4069385,-999.4262178,-0.019279293,-999.295405,-999.314798,-0.019393,7.5757,10.5112,-0.29157,0.11498,-0.14303,0.2636,409.6749878,-2.31216,-0.6471,-0.39869,0.50661,-0.79654,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,diphenyl-phosphinic acid; Diphenylphosphinic acid; diphenylphosphonic acid,OP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,Solubility: 0.068 molpercent,-2.036797563,B,25.02,139.671,218.192,192.25,-955.7763818,-955.7906388,-0.014256955,-955.616104,-955.630028,-0.013924,3.7421,5.6422,-0.26256,0.20447,-0.05354,0.23459,421.252533,-2.16733,-3.19791,-1.13109,2.22337,0.05604,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BGRJTUBHPOOWDU-UHFFFAOYSA-N,N-[(1-ethyl-2-pyrrolidinyl)methyl]-2-methoxy-5-sulfamoylbenzamide; Sulpiride,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,Solubility: 0.2097 molpercent,-1.547708045,C,25.09,222.473,341.431,177.6,-1448.75005,-1448.775066,-0.02501582,-1448.426253,-1448.451864,-0.025611,2.1462,4.4325,-0.21727,0.20973,-0.04828,0.1893,588.9505615,-3.15726,-3.01806,-1.11969,2.29235,-3.1854,46,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1
BHXIVVULYOMXPF-UHFFFAOYSA-N,"N,N'-bis-(4-dimethylamino-phenyl)-N-propionyl-urea; N,N'-Bis-(4-dimethylamino-phenyl)-N-propionyl-harnstoff",CCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 0.23 g Substance.,-2.292959938,B,20,287.484,354.452,161.75,-1147.304736,-1147.320912,-0.01617633,-1146.926651,-1146.943094,-0.016443,3.2156,3.6758,-0.18002,0.23719,-0.02082,0.15205,662.8829956,-1.34632,-3.12537,-0.68828,0.83619,-3.48719,52,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BKYWPNROPGQIFZ-UHFFFAOYSA-N,"2,4-dimethyl-benzoic acid; 2, 4-dimethylbenzoic acid; 2,4-dimethylbenzoic acide; 2,4-Dimethylbenzoic acid; 2,4-Dimethyl-benzoesaeure; 2.4-Dimethyl-benzol-carbonsaeure-(1); asymm. m-Xylylsaeure",CC1=CC=C(C(O)=O)C(C)=C1,123.199,-0.085996242,D,20,128.26,150.177,125.5,-499.4765048,-499.4834402,-0.006935379,-499.342985,-499.350075,-0.00709,2.3264,3.175,-0.25528,0.20024,-0.05777,0.22731,342.8161011,-1.38167,-1.44432,-0.73269,0.80938,-1.38167,21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,N-(2-methylphenyl)urea; 1-(2-methylphenyl)urea; (2-methylphenyl)urea; o-methylphenylurea; 1-(2-tolyl)urea; 1-(o-tolyl)urea; N-(2-tolyl)urea,CC1=CC=CC=C1NC(N)=O,4.2,-1.55336281,C,23,124.748,150.18,193.75,-495.6509229,-495.6649696,-0.014046644,-495.514348,-495.528699,-0.014351,4.2446,6.1305,-0.22289,0.23752,-0.02049,0.19492,343.9192505,-0.71429,-0.84187,-0.89615,0.80792,-2.25779,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BMEMSZNEGPFYMC-KNVOCYPGSA-N,cis-4-methyl-cyclohexane-carboxylic acid-(1)-amide; cis-4-Methyl-cyclohexan-carbonsaeure-(1)-amid; cis-4-Methyl-cyclohexancarbonsaeure-amid,C[C@H]1CC[C@H](CC1)C(N)=O,100 g solvent dissolves. 2.25 g Substance.,-0.902822505,D,18,120.159,141.213,163,-443.907795,-443.917771,-0.009976007,-443.718473,-443.728623,-0.01015,3.6612,5.1266,-0.25605,0.2445,-0.01351,0.22808,338.3135986,-0.69657,-2.47374,-0.86414,0.68922,-1.56071,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,"1-chloroanthracene-9,10-dione; 1 -chloroanthraquinone; 1-Chloroanthraquinone",ClC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,Solubility: 0.5314 molpercent,-1.143884926,C,24.99,154.158,242.661,162,-1148.386202,-1148.395866,-0.00966402,-1148.255931,-1148.266274,-0.010343,1.3094,1.8954,-0.26591,0.13786,-0.12015,0.23794,405.3682251,-1.14681,-0.76712,-0.57972,0.56573,-1.11179,24,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BOFXVYGDIRCHEQ-FPYZNPETSA-N,methyl alpha-D-galactopyranosiduronic acid; 1-O-methyl-alpha-D-galactopyranuronic acid; O1-methyl-alpha-D-galactopyranuronic acid; O1-Methyl-alpha-D-galactopyranuronsaeure,CO[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,6,-1.540262719,C,20,147.988,208.168,111,-800.5342615,-800.5554146,-0.021153113,-800.368581,-800.390341,-0.02176,2.7311,3.4543,-0.28099,0.23943,-0.01858,0.25302,378.129303,-4.94223,0.91507,-0.80086,0.82526,-4.94223,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
BOJKULTULYSRAS-NXIQKPQYSA-N,"[1R-[1alpha(E),4abeta,5alpha,6alpha,8aalpha]]-3-[2-[decahydro-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylene-1-naphthalenyl]ethylidene]dihydro-4-hydroxy-2(3H)-furanone; andrographolide; Andrographolid",[H][C@]12CCC(=C)[C@@H](C\C=C3/C(O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO,4.55591,-1.886057124,C,25.04,291.346,350.455,225.25,-1156.298015,-1156.323397,-0.02538145,-1155.87239,-1155.89816,-0.02577,4.4056,5.9393,-0.25812,0.1957,-0.06231,0.23015,577.8363647,-3.61414,-4.5114,-0.81694,0.8071,-3.61414,55,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BQJCRHHNABKAKU-KBQPJGBKSA-N,MORPHIN,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,1.28,-2.348157253,B,15,229.059,285.343,253,-939.6478283,-939.6619319,-0.014103554,-939.355027,-939.369298,-0.014271,4.0222,5.5428,-0.20607,0.2431,-0.01491,0.1781,467.5106812,-2.06476,-2.61184,-0.78577,0.52736,-2.62443,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BQSJTQLCZDPROO-UHFFFAOYSA-N,febuxostat; 2-(3-cyano-4-isobutyloxyphenyl)-4-methyl-5-thiazolecarboxylic acid; Febuxostat; 2-[3-cyano-4-(2-methylpropoxy) phenyl]-4-methylthiazole-5-carboxylic acid; 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazole carboxylic acid; 2-[3-cyano-4-(2-methylpropoxyl)phenyl]-4-methylthiazole-5-carboxylic acid; 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazolecarboxylic acid,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,Solubility: 0.74284 molpercent,-0.998411194,D,24.99,226.55,316.381,206.5,-1352.752422,-1352.768147,-0.01572466,-1352.512042,-1352.528267,-0.016225,4.4505,5.6877,-0.23838,0.16516,-0.09285,0.21041,573.5873413,-1.89104,-2.03857,-0.72611,0.78701,-2.26695,38,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1
BRVGOAJFDSDGKU-UHFFFAOYSA-N,carbamic acid 3-(4-benzyloxy-phenyl)-isoxazol-5-ylmethyl ester; carbamic acid 3-(4-benzyloxyphenyl)isoxazole-5-yl methyl ester; carbamic acid 3-(4-benzyloxyphenyl)isoxazole-5-ylmethyl ester,NC(=O)OCC1=CC(=NO1)C1=CC=C(OCC2=CC=CC=C2)C=C1,24.8,-1.116543475,C,20,191.049,324.336,167.52,-1105.959436,-1105.979102,-0.01966512,-1105.702677,-1105.722051,-0.019374,4.1918,5.6985,-0.22724,0.20967,-0.04834,0.19927,610.0877075,-2.14926,-1.25626,-0.87857,0.91853,-3.20703,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin; acetylsalicylic acid; acetylsalicylic Acid,CC(=O)OC1=CC=CC=C1C(O)=O,Solubility: 8.8 molpercent,0.075176197,E,24.74,137.763,180.16,134.8,-648.722574,-648.7341595,-0.011585546,-648.604418,-648.616971,-0.012553,2.2142,3.3194,-0.26725,0.18767,-0.07034,0.23928,362.0077515,-2.53306,0.11018,-0.78132,0.84236,-2.53306,21,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BTPSLIHHXNBZBL-UHFFFAOYSA-N,"N,N?-(pyrazine-2,5-diyl)dibenzamide",O=C(NC1=CN=C(NC(=O)C2=CC=CC=C2)C=N1)C1=CC=CC=C1,0.4,-2.900824399,B,NA,190.529,318.335,284.5,-1063.860382,-1063.886932,-0.02655008,-1063.620731,-1063.646226,-0.025495,3.7121,5.687,-0.2392,0.18764,-0.07037,0.21123,587.6005249,-1.28342,-0.53536,-0.65297,0.69303,-3.45268,38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
