StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any.halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all.aromatic,aromatic.C,aromatic.N,aromatic.S,aromatic.O,nitrile,X1st.2nd.amine,nitro,azo,alcohol,ether.inc..ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at.least.1.ring,unfused.benzene.ring,X3.membered.ring,X4.membered.ring,X5.membered.ring,X6.membered.ring,X7.membered.ring,H.bond.donor,Acidic.hydroxyl,H.bond.acceptor
ASWVTGNCAZCNNR-UHFFFAOYSA-N,sulfadimesine; sulfamethazin; Sulfamethazine,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,Solubility: 0.001834 molpercent,-3.605907144,A,24.99,253.944,278.335,196.75,-0.060771269,-0.087841787,-0.027070518,0.124883,0.096055,-0.028828,8.4328,12.5177,-0.3374,0.24755,-0.01046,0.30943,491.8107605,-1.96826,-1.160968,-0.994467,2.62972,-1.78507,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
AUHHYELHRWCWEZ-UHFFFAOYSA-N,"tetrachlorophthalic anhydride; 3,4,5,6-Tetrachlorophthalic anhydride; Tetrachlorophthalic anhydride; 4,5,6,7-tetrachloroisobenzofuran-1,3-dione; 3,4,5,6-Tetrachlorphthalsaeureanhydrid; 3,4,5,6-tetrachloro-phthalic anhydride; 1,2,3,4-tetrachlorophthalic anhydride",ClC1=C(Cl)C(Cl)=C(Cl)C2=C1C(=O)OC2=O,100 g solvent dissolves. 3.1 g Substance.,-1.069979767,C,25,98.654,285.898,254.95,-0.152113382,-0.162367379,-0.010253997,-0.130247,-0.141079,-0.010832,4.6028,6.0728,-0.38514,0.16649,-0.09152,0.35717,375.4971313,-1.30524,1.15891,-0.506351,0.675424,-1.15891,15,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
AVCSMMMOCOTIHF-UHFFFAOYSA-N,"1,8-dinitronaphthalene; 1,8-dinitro-naphthalene; 1,8-Dinitro-naphthalin",O=N(=O)C1=CC=CC2=CC=CC(=C12)N(=O)=O,100 g solvent dissolves. 7.003 g Substance.,-0.598639258,D,16,152.89,218.169,171,0.070120928,0.051209905,-0.018911023,0.175259,0.15569,-0.019569,9.4159,13.2653,-0.37713,0.18005,-0.07796,0.34916,371.7789307,-2.010934,-0.831704,-0.517792,0.871433,-0.268069,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
AVDDMQBDJTYCIR-UHFFFAOYSA-N,"N,N?-(1,4-phenylene)dipyrazine-2-carboxamide",O=C(NC1=CC=C(NC(=O)C2=CN=CC=N2)C=C1)C1=CN=CC=N1,0.1,-3.505570497,A,NA,293.02,320.31,364.5,0.071201867,0.051226306,-0.01997556,0.267062,0.252948,-0.014114,6.9586,9.905,-0.31565,0.20389,-0.05412,0.28768,564.7206421,-1.169306,0.468757,-0.584653,0.613787,-3.052635,36,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
AVSXSVCZWQODGV-DPAQBDIFSA-N,"demosterol; cholesta-5,24-dien-3beta-ol; 24-Dehydrocholesterol; cholest-5,20,24-trien-3beta-ol; cholesta-5,24-dien-3beta-ol; 24-dehydrocholesterol; desmosterol",[H][C@@](C)(CC\C=C(/C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,57.3507,-0.826522497,D,27.54,524.404,384.646,120.75,-0.17408651,-0.182426826,-0.008340316,0.370323,0.360162,-0.010161,2.174,2.5858,-0.33474,0.30833,0.05032,0.30677,691.3572998,-0.622928,-5.946184,-0.622928,0.325809,-0.622928,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
BBUVDDPUURMFOX-SAABIXHNSA-N,"2-hydroxy-1-(2-((9-((1r,4r)-4-methylcyclohexyl)-9H-pyrido[4?,3?:4,5]pyrrolo[2,3-d]pyrimidin-2-yl)amino)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl)ethanone; 2-hydroxy-1-(2-((9-((1R,4R)-4-methylcyclohexyl)-9H-pyrido[4',3':4,5]pyrrolo[2,3-d]pyrimidin-2-yl)amino)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl)ethanone; AMG 925; 2-hydroxy-1-[2-({9-[(1r,4r)-4-methylcyclohexyl]-9H-pyrido[4',3':4,5]pyrrolo[2,3-d]pyrimidin-2-yl}amino)-7,8-dihydro-1,6-naphthyridin-6(5H)-yl]ethanone",C[C@H]1CC[C@@H](CC1)N1C2=NC(NC3=NC4=C(CN(CC4)C(=O)CO)C=C3)=NC=C2C2=C1C=NC=C2,1,-2.673538801,B,20,526.354,471.562,214,0.001533457,-0.021355393,-0.02288885,0.425171,0.400003,-0.025168,3.8322,4.6824,-0.32576,0.21489,-0.04312,0.29779,780.449707,-1.164739,-1.021079,-0.618062,0.544017,-4.038713,64,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BEJNERDRQOWKJM-UHFFFAOYSA-N,5-hydroxy-2- (hydroxymethyl)-4H-pyran-4-one; kojic acid; 5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one; Kojic acid,OCC1=CC(=O)C(O)=CO1,Solubility: 0.0106 mol-percent,-2.84400061,B,23,116.435,142.111,152,-0.200952335,-0.218916129,-0.017963794,-0.13109,-0.149601,-0.018511,5.4203,8.0829,-0.35216,0.23237,-0.02564,0.32419,306.2976074,-1.780903,0.295828,-0.556073,0.604999,-1.780903,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
BEKZHETVNVFYCV-UHFFFAOYSA-N,"1,3,8-trinitronaphthalene; 1,3,8-trinitro-naphthalene; 1,3,8-Trinitro-naphthalin; 1,3,8-Trinitronaphthalin",O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O,100 g solvent dissolves. 3.187 g Substance.,-1.021978059,C,15,164.516,263.166,218,0.070411352,0.047604172,-0.022807179,0.174387,0.150612,-0.023775,8.1616,11.65,-0.39929,0.15595,-0.10206,0.37132,409.5473938,-2.925255,-0.671509,-0.514293,0.878922,-0.295136,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,diphenyl-phosphinic acid; Diphenylphosphinic acid; diphenylphosphonic acid,OP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,Solubility: 0.068 molpercent,-2.036797563,B,25.02,226.507,218.192,192.25,-0.111714488,-0.130214654,-0.018500166,0.032435,0.013253,-0.019182,5.7603,8.1286,-0.36801,0.24303,-0.01498,0.34004,416.4975281,-1.607457,-1.865947,-0.889883,1.541897,-0.06556,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BGRJTUBHPOOWDU-UHFFFAOYSA-N,N-[(1-ethyl-2-pyrrolidinyl)methyl]-2-methoxy-5-sulfamoylbenzamide; Sulpiride,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,Solubility: 0.2097 molpercent,-1.547708045,C,25.09,387.17,341.431,177.6,-0.240079344,-0.270330464,-0.03025112,0.050372,0.019058,-0.031314,8.7544,11.6782,-0.32998,0.23201,-0.026,0.30201,575.5639038,-3.032946,-1.701529,-1.003187,2.58115,-2.211439,46,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1
BHXIVVULYOMXPF-UHFFFAOYSA-N,"N,N'-bis-(4-dimethylamino-phenyl)-N-propionyl-urea; N,N'-Bis-(4-dimethylamino-phenyl)-N-propionyl-harnstoff",CCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 0.23 g Substance.,-2.292959938,B,20,415.414,354.452,161.75,-0.068666352,-0.089643251,-0.020976899,0.266021,0.245017,-0.021004,3.5999,4.6348,-0.28391,0.26177,0.00376,0.25594,666.8936768,-1.190869,-1.743879,-0.607476,0.722982,-2.718349,52,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BKYWPNROPGQIFZ-UHFFFAOYSA-N,"2,4-dimethyl-benzoic acid; 2, 4-dimethylbenzoic acid; 2,4-dimethylbenzoic acide; 2,4-Dimethylbenzoic acid; 2,4-Dimethyl-benzoesaeure; 2.4-Dimethyl-benzol-carbonsaeure-(1); asymm. m-Xylylsaeure",CC1=CC=C(C(O)=O)C(C)=C1,123.199,-0.085996242,D,20,164.004,150.177,125.5,-0.137232417,-0.144256486,-0.007024068,-0.020478,-0.027923,-0.007445,3.0684,4.0157,-0.35606,0.2395,-0.01851,0.32809,341.1460876,-1.141666,-0.86009,-0.589348,0.700233,-1.141666,21,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,N-(2-methylphenyl)urea; 1-(2-methylphenyl)urea; (2-methylphenyl)urea; o-methylphenylurea; 1-(2-tolyl)urea; 1-(o-tolyl)urea; N-(2-tolyl)urea,CC1=CC=CC=C1NC(N)=O,4.2,-1.55336281,C,23,174.31,150.18,193.75,-0.045654725,-0.059625364,-0.013970639,0.073948,0.060047,-0.013901,4.334,5.9815,-0.32106,0.2649,0.00689,0.29309,344.6638184,-0.637767,-0.332424,-0.637767,0.69726,-1.712683,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BMEMSZNEGPFYMC-KNVOCYPGSA-N,cis-4-methyl-cyclohexane-carboxylic acid-(1)-amide; cis-4-Methyl-cyclohexan-carbonsaeure-(1)-amid; cis-4-Methyl-cyclohexancarbonsaeure-amid,C[C@H]1CC[C@H](CC1)C(N)=O,100 g solvent dissolves. 2.25 g Substance.,-0.902822505,D,18,181.892,141.213,163,-0.12104422,-0.131715507,-0.010671288,0.049231,0.037886,-0.011345,3.6354,5.0338,-0.37368,0.30349,0.04548,0.34571,338.6545105,-0.645922,-1.175657,-0.645922,0.612595,-1.233355,25,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,"1-chloroanthracene-9,10-dione; 1 -chloroanthraquinone; 1-Chloroanthraquinone",ClC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,Solubility: 0.5314 molpercent,-1.143884926,C,24.99,193.186,242.661,162,-0.026929439,-0.036652609,-0.00972317,0.094089,0.083693,-0.010396,2.0768,3.3917,-0.36455,0.19268,-0.06533,0.33658,407.5750732,-0.997366,-0.17321,-0.499338,0.56236,-1.055241,24,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BOFXVYGDIRCHEQ-FPYZNPETSA-N,methyl alpha-D-galactopyranosiduronic acid; 1-O-methyl-alpha-D-galactopyranuronic acid; O1-methyl-alpha-D-galactopyranuronic acid; O1-Methyl-alpha-D-galactopyranuronsaeure,CO[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,6,-1.540262719,C,20,191.291,208.168,111,-0.487277991,-0.50567004,-0.018392049,-0.348678,-0.369406,-0.020728,4.1022,5.7722,-0.39024,0.26991,0.0119,0.36227,379.4164429,-3.707611,0.961747,-0.580984,0.646774,-3.707611,26,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
BOJKULTULYSRAS-NXIQKPQYSA-N,"[1R-[1alpha(E),4abeta,5alpha,6alpha,8aalpha]]-3-[2-[decahydro-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylene-1-naphthalenyl]ethylidene]dihydro-4-hydroxy-2(3H)-furanone; andrographolide; Andrographolid",[H][C@]12CCC(=C)[C@@H](C\C=C3/C(O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO,4.55591,-1.886057124,C,25.04,417.724,350.455,225.25,-0.362943254,-0.385664449,-0.022721195,0.016507,-0.00548,-0.021987,5.2232,6.4162,-0.36029,0.24526,-0.01275,0.33232,576.9848633,-2.765245,-2.411818,-0.607618,0.681823,-2.765245,55,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BQJCRHHNABKAKU-KBQPJGBKSA-N,MORPHIN,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,1.28,-2.348157253,B,15,300.875,285.343,253,-0.13534235,-0.149324308,-0.013981959,0.131919,0.116748,-0.015171,4.3731,5.5325,-0.31731,0.25742,-0.00059,0.28934,462.7308655,-1.475696,-1.516879,-0.584267,0.347015,-1.827047,40,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BQSJTQLCZDPROO-UHFFFAOYSA-N,febuxostat; 2-(3-cyano-4-isobutyloxyphenyl)-4-methyl-5-thiazolecarboxylic acid; Febuxostat; 2-[3-cyano-4-(2-methylpropoxy) phenyl]-4-methylthiazole-5-carboxylic acid; 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazole carboxylic acid; 2-[3-cyano-4-(2-methylpropoxyl)phenyl]-4-methylthiazole-5-carboxylic acid; 2-[3-cyano-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazolecarboxylic acid,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,Solubility: 0.74284 molpercent,-0.998411194,D,24.99,252.988,316.381,206.5,-0.107128891,-0.123776315,-0.016647423,0.109731,0.088111,-0.02162,5.9851,7.2448,-0.33936,0.19932,-0.05869,0.31139,578.052124,-1.496532,-0.849924,-0.575432,0.739261,-2.058011,38,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1
BRVGOAJFDSDGKU-UHFFFAOYSA-N,carbamic acid 3-(4-benzyloxy-phenyl)-isoxazol-5-ylmethyl ester; carbamic acid 3-(4-benzyloxyphenyl)isoxazole-5-yl methyl ester; carbamic acid 3-(4-benzyloxyphenyl)isoxazole-5-ylmethyl ester,NC(=O)OCC1=CC(=NO1)C1=CC=C(OCC2=CC=CC=C2)C=C1,24.8,-1.116543475,C,20,317.884,324.336,167.52,-0.087359247,-0.105166665,-0.017807417,0.144426,0.126101,-0.018325,3.5505,4.4992,-0.32609,0.24156,-0.01645,0.29812,599.0438843,-1.572469,-0.664716,-0.596552,0.708855,-2.307082,40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,aspirin; acetylsalicylic acid; acetylsalicylic Acid,CC(=O)OC1=CC=CC=C1C(O)=O,Solubility: 8.8 molpercent,0.075176197,E,24.74,154.002,180.16,134.8,-0.238322784,-0.249879519,-0.011556735,-0.135252,-0.149558,-0.014306,1.9508,3.3189,-0.36488,0.22269,-0.03532,0.33691,368.8901672,-2.108974,0.373703,-0.596774,0.72818,-2.108974,21,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BTPSLIHHXNBZBL-UHFFFAOYSA-N,"N,N?-(pyrazine-2,5-diyl)dibenzamide",O=C(NC1=CN=C(NC(=O)C2=CC=CC=C2)C=N1)C1=CC=CC=C1,0.4,-2.900824399,B,NA,292.52,318.335,284.5,0.051925314,0.02313705,-0.028788264,0.266656,0.238751,-0.027905,4.3217,5.3438,-0.33393,0.22665,-0.03136,0.30596,599.1650391,-1.1128,-0.049282,-0.556406,0.642491,-2.62345,38,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
BTTNOGHPGJANSW-IBGZPJMESA-N,"N-{[(5S)-3-(2-fluoro-4?-{[(1H-1,2,3-triazol-5-ylmethyl)amino]methyl}biphenyl-4-yl)-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamide; N-[3-(2-fluoro-4?-{[(3H-[1,2,3]triazol-4-ylmethyl)amino]methyl}biphenyl-4-yl)-2-oxo-oxazolidin-5-(S)-ylmethyl]acetamide; N-{[(5S)-3-(2-fluoro-4'-{[(1H-1,2,3-triazol-5-ylmethyl)amino]methyl}biphenyl-4-yl)-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamide; (5S)-N-[3-(2-fluoro-4'-{[(1H-[1,2,3]triazol-4-ylmethyl)amino]methyl}biphenyl-4-yl)-2-oxooxazolidin-5-ylmethyl]-acetamide; radezolid; (S)-radezolid; RX-1741",CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1,1,-2.64193097,B,20,441.758,438.461,208.4,-0.11402007,-0.149776546,-0.035756475,0.219245,0.184214,-0.035031,7.6565,11.5921,-0.33495,0.23769,-0.02032,0.30698,765.3828125,-1.624302,-0.865919,-0.645545,0.727637,-3.557703,55,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
