StdInChIKey,Name,Smile,Sol,LogS,S,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
APZGKGHAXUURNO-UHFFFAOYSA-N,"1,3,5,7-tetramethyl-2,4,6,8,9,10- hexathiaadamantane; 1,3,5,7-tetramethyl-2,4,6,8,9,10-hexathiaadamantane; 1,3,5,7-tetramethyl-2,4,6,8,10-hexathiaadamantane; tetramethylhexathiaadamantane; tetramethyl-2,4,6,8,9,10-hexathia-adamantane; 1,3,5,7-Tetramethyl-2,4,6,8,9,10-hexathia-adamantan; 1,3,5,7-Tetramethyl-2,4,6,8,9,10-hexathiaadamantan",CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,Solubility: 45.0 weight-percent,0.117757985,1.311468866,F,20,161.477,300.579,232,-2701.205183,-2701.209061,-0.00387787,-2701.056311,-2701.060409,-0.004098,0.0017,0.0026,-0.22845,0.14941,-0.03091,0.06954,417.646637,0,-5.10987,-0.71611,0.31335,1.87941,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
AQKGLAJGQUIHSJ-ZDEMKHDWSA-N,"(1R)-1,9,11,11,12,12-hexamethyl-1,2,3,4,6,7,8,9-octahydro-1r,4c;6t,9t-dimethano-phenazine; (1R)-1,9,11,11,12,12-Hexamethyl-1,2,3,4,6,7,8,9-octahydro-1r,4c;6t,9t-dimethano-phenazin; (1R)-1,9,11,11,12,12-Hexamethyl-1,2,3,4,6,7,8,9-octahydro-1r,4r;6t,9t-dimethano-phenazin",[C@@H]45C3=NC1=C([C@H]2CC[C@@H]1C2(C)C)N=C3[C@@H](CC4)C5(C)C,100 g solvent dissolves. 13.5 g Substance.,-0.39912237,0.398912486,E,20,203.097,296.456,205.5,-809.8785079,-809.8816045,-0.003096565,-809.533111,-809.536365,-0.003254,0.0001,0.0001,-0.23091,0.13638,-0.04394,0.072,496.3502808,0,-5.10941,-0.67697,0.265,-0.85008,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
ARQPAZGNIULDOE-AFYYWNPRSA-N,N-((1Xi:3R)-3-methyl-cyclohexyl)-naphthamide-(1); N-((1Xi:3R)-3-Methyl-cyclohexyl)-naphthamid-(1),C[C@@H]3CCCC(NC(=O)c1cccc2ccccc12)C3,105,-0.405925001,0.392712748,E,26,263.159,267.371,134,-828.6119435,-828.616591,-0.004647549,-828.304384,-828.309968,-0.005584,3.5948,4.272,-0.22572,0.12269,-0.05763,0.06681,521.3652344,-0.6623,-4.01766,-0.67626,0.67608,-1.31745,41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
ASKWNDPFGDMSCK-UHFFFAOYSA-N,4-[(2-methylphenyl)azo]-phenol; 4-o-Tolylazo-phenol; 4'-Hydroxy-2-methyl-azobenzol; Toluol-(2azo4)-phenol; 4-o-Toluolazo-phenol,Cc1ccccc1N=Nc2ccc(O)cc2,100 g solvent dissolves. 21.85 g Substance.,-0.044894198,0.901790803,E,30,199.772,212.251,104,-687.3243573,-687.3283514,-0.003994097,-687.144105,-687.146635,-0.00253,1.4261,1.6215,-0.22164,0.0928,-0.08752,0.06273,441.744751,-0.70257,-2.173,-0.70257,0.51563,-1.11655,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AUHHYELHRWCWEZ-UHFFFAOYSA-N,"tetrachlorophthalic anhydride; 3,4,5,6-Tetrachlorophthalic anhydride; Tetrachlorophthalic anhydride; 4,5,6,7-tetrachloroisobenzofuran-1,3-dione; 3,4,5,6-Tetrachlorphthalsaeureanhydrid; 3,4,5,6-tetrachloro-phthalic anhydride; 1,2,3,4-tetrachlorophthalic anhydride",Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,100 g solvent dissolves. 4.0 g Substance.,-0.91164702,0.122561193,E,25,139.793,285.898,253,-2371.321213,-2371.325848,-0.0046342,-2371.298199,-2371.303014,-0.004815,4.0246,4.5875,-0.29507,0.04872,-0.1316,0.13616,376.2706299,-1.55941,1.13963,-0.53967,0.81269,-1.13885,15,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
AVCSMMMOCOTIHF-UHFFFAOYSA-N,"1,8-dinitronaphthalene; 1,8-dinitro-naphthalene; 1,8-Dinitro-naphthalin",[O-][N+](=O)c1cccc2cccc(c12)[N+]([O-])=O,100 g solvent dissolves. 0.750 g Substance.,-1.521227671,0.030114269,D,16,153.488,218.169,146,-794.9038747,-794.911158,-0.007283274,-794.790203,-794.797406,-0.007203,8.6817,10.127,-0.26942,0.06478,-0.11554,0.11051,373.1924744,-1.5169,-1.09566,-0.38817,0.50188,-0.51314,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
AVVYOFCWOUPHSM-SAPNQHFASA-N,[oxy-(4-chloro-phenyl)-imino-(seqcis)]-phenyl-acetonitrile; [Oxy-(4-chlor-phenyl)-imino-(seqcis)]-phenyl-acetonitril,N#C/C(c1ccccc1)=N(=O)/c2ccc(Cl)cc2,137.599,-0.270795364,0.53604918,E,26,190.902,256.691,132,-1183.770435,-1183.775446,-0.00501102,-1183.617973,-1183.623196,-0.005223,1.7334,2.0229,-0.24173,0.07543,-0.10489,0.08282,462.2067871,-0.48221,-1.70951,-0.48221,0.27925,-0.67048,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BBEAQIROQSPTKN-UHFFFAOYSA-N,"pyrene; Pyrene; benzo[d,e,f]phenanthrene; benzo[def]phenanthrene; pyrene II; Pyren; mono-nitropyrenequinone",c1cc2ccc3cccc4ccc(c1)c2c34,111.243,-0.259626574,0.550013597,E,20,155.261,202.255,150,-615.7921777,-615.7943132,-0.002135495,-615.620249,-615.622379,-0.00213,0,0,-0.20584,0.11415,-0.06617,0.04693,389.6585083,0,-2.45608,-0.24054,0.24882,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BCAYFYHKUBCJIB-UHFFFAOYSA-N,4-(2-benzoylhydrazinyl)-4-oxobutanoic acid; N'-benzoyl-succinohydrazidic acid; succinic acid mono-(N'-benzoyl-hydrazide); Bernsteinsaeure-mono-(N'-benzoyl-hydrazid); Bernsteinsaeure-mono-benzhydrazid; Monobenzoyl-succinhydrazidsaeure; N2-Benzoylbernsteinsaeuremonohydrazid,OC(=O)CCC(=O)NNC(=O)c1ccccc1,0.0945,-3.397897726,0.000400039,B,25,156.42,236.227,170,-836.8496498,-836.8582829,-0.008633082,-836.669937,-836.681315,-0.011378,1.9888,2.2886,-0.24303,0.11753,-0.06279,0.08412,467.1032104,-2.70419,-0.22989,-0.72141,0.82189,-3.61646,29,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BDDYZHKLKHFEBJ-UHFFFAOYSA-N,bis(benzoyloxy)methane; benzoic acid methylene diester; methylidene dibenzoate; Dibenzocarboxymethane; bismethylene benzoate; methylene dibenzoate; bis-benzoyloxy-methane,O=C(OCOC(=O)c1ccccc1)c2ccccc2,100 g solvent dissolves. 27 g Substance.,-0.034809562,0.922976063,E,24,204.894,256.258,101,-879.7832421,-879.7880795,-0.004837425,-879.590554,-879.59524,-0.004686,1.7948,1.9113,-0.27081,0.11394,-0.06638,0.1119,497.2705994,-2.35892,-0.70626,-0.61134,0.81859,-2.35892,31,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BDJRBEYXGGNYIS-UHFFFAOYSA-N,azelaic acid; Azelaic acid,OC(=O)CCCCCCCC(O)=O,100 g solvent dissolves. 9.2 mg Substance.,-3.368383065,0.000428171,B,25,171.934,188.224,107,-653.5621289,-653.5690395,-0.006910581,-653.359246,-653.366275,-0.007029,3.0701,3.5791,-0.29077,0.17262,-0.0077,0.13186,441.3835144,-2.71232,-1.80168,-0.72848,0.82285,-2.71232,29,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BEKZHETVNVFYCV-UHFFFAOYSA-N,"1,3,8-trinitronaphthalene; 1,3,8-trinitro-naphthalene; 1,3,8-Trinitro-naphthalin; 1,3,8-Trinitronaphthalin",[O-][N+](=O)c1cc2cccc(c2c(c1)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 0.407 g Substance.,-1.868131264,0.013547799,D,15,156.193,263.166,217.5,-999.4069386,-999.4155932,-0.008654583,-999.295393,-999.304073,-0.00868,7.5764,8.8554,-0.29157,0.03728,-0.14304,0.13266,409.7463684,-2.22764,-0.69556,-0.38248,0.50276,-0.72476,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,diphenyl-phosphinic acid; Diphenylphosphinic acid; diphenylphosphonic acid,O[P](=O)(c1ccccc1)c2ccccc2,Solubility: 0.07 molpercent,-2.105104492,0.007850467,C,19.99,149.358,218.192,199,-955.7763818,-955.7828319,-0.006450047,-955.616103,-955.623046,-0.006943,3.7425,4.5357,-0.26256,0.12678,-0.05354,0.10365,422.2925415,-2.13832,-3.17101,-1.10614,2.21712,0.0788,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BFRVGQZWGWUHBQ-GDDAKTJHSA-N,"etioporphyrin II; 3,7,13,17-tetraethyl-2,8,12,18-tetramethylporphyrin; Etioporphyrin IV; etioporphyrin-II; ethioporphyn II; 2,8,12,18-tetraethyl-3,7,13,17-tetramethyl-porphyrin; 2,8,12,18-tetraethyl-3,7,13,17-tetramethyl-21H,23H-porphine",CCc1c(c2/cc/3\nc(/cc\4/c(c(/c(/[nH]4)c/c5n/c(c\c1[nH]2)/C(=C5C)CC)C)CC)C(=C3C)CC)C,0.765888,-2.795880925,0.001599997,C,25,393.736,478.681,366,-1461.393171,-1461.39735,-0.00417867,-1460.829306,-1460.833678,-0.004372,0.0596,0.0552,-0.18782,0.09879,-0.08153,0.02891,801.2020874,0,-7.44999,-0.71916,0.73864,-2.23431,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,"pyrazolsulfuron-ethyl; 5-[[(4,6-dimethoxypyrimidin-2-yl)aminocarbonyl]aminosulfonyl]-1-methyl-1H-pyrazole-4-carboxylic acid ethyl ester; ethyl 5-[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]-1-methyl-1H-pyrazole-4-carboxylate; 5-(4,6-dimethoxypyrimidin-2-ylaminocarbonylsulfamoyl)-1-methylpyrazole-4-carboxylic acid ethyl ester; ethyl-5-(N-(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl)-1-methyl-1H-pyrazole-4-carboxylate; ethyl 5-(4,6-dimethoxypyrimidin-2-ylcarbamoylaminosulfonyl)-1-methylpyrazole-4-carboxylate; 5-(4,6-dimethoxypyrimidinyl-2-carbamamido-1-methylpyrazole-4-carboxylic acid ethyl ester)",CCOC(=O)c1cnn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,15.6,-1.4242941,0.037644879,D,20,299.834,414.399,181.5,-1797.579104,-1797.591623,-0.01251922,-1797.296845,-1797.309022,-0.012177,4.4656,5.4371,-0.24983,0.11849,-0.06183,0.09092,675.2729492,-4.63213,0.68919,-0.94438,2.33027,-5.51939,46,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
BIEBWMDQQCKEIN-UHFFFAOYSA-N,2-(2-chlorophenyl)-2-hydroxyacetamide; 2-chloro-mandelic acid-amide; 2-Chlor-mandelsaeure-amid; 2-Chlor-DL-mandelamid,NC(=O)C(O)c1ccccc1Cl,2.44,-1.881211544,0.013145843,D,22,117.145,185.61,87.5,-975.0970329,-975.1022445,-0.005211574,-974.983523,-974.988896,-0.005373,3.6104,4.1447,-0.26205,0.1416,-0.03872,0.10314,348.7970276,-1.44016,-0.38622,-0.84757,0.66231,-2.30565,20,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BIOPPFDHKHWJIA-UHFFFAOYSA-N,"9,10-Dicyanoanthracene; 9,10-dicyanoanthracene",N#Cc1c2ccccc2c(C#N)c3ccccc13,0.4,-2.756356503,0.001752441,C,20,199.185,228.253,335,-724.0383013,-724.0434266,-0.005125203,-723.886744,-723.891938,-0.005194,0.0004,0.0001,-0.23708,0.05564,-0.12468,0.07817,419.7897034,0,-1.42821,-0.3241,0.29064,-0.64817,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BKYWPNROPGQIFZ-UHFFFAOYSA-N,"2,4-dimethyl-benzoic acid; 2, 4-dimethylbenzoic acid; 2,4-dimethylbenzoic acide; 2,4-Dimethylbenzoic acid; 2,4-Dimethyl-benzoesaeure; 2.4-Dimethyl-benzol-carbonsaeure-(1); asymm. m-Xylylsaeure",Cc1ccc(c(C)c1)C(O)=O,35.6,-0.625153426,0.23705361,E,20,102.265,150.177,121,-499.4765048,-499.4797655,-0.003260704,-499.343012,-499.346019,-0.003007,2.3264,2.7123,-0.25528,0.12255,-0.05777,0.09637,342.3517761,-1.36353,-1.43611,-0.732,0.80468,-1.36353,21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BOBLSBAZCVBABY-UHFFFAOYSA-N,"1,6-diphenyl-hexa-1,3,5-triene; alpha,omega-diphenylhexatriene; 1,6-diphenyl-1,3,5-hexatriene; 1,6-diphenylhexatriene; diphenylhexatriene; DPH; 1t,6t-diphenyl-hexa-1,3t,5-triene",C(=CC=Cc1ccccc1)C=Cc2ccccc2,8.6,-1.431597495,0.03701711,D,19,195.129,232.325,194,-695.5507349,-695.5540006,-0.003265747,-695.314006,-695.317279,-0.003273,0.0002,0,-0.19518,0.10118,-0.07914,0.03627,525.4042358,0,-3.81296,-0.25867,0.24734,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
BPTKLSBRRJFNHJ-UHFFFAOYSA-N,"4-(phenylazo)-1,3-benzenediol",Oc1ccc(N=Nc2ccccc2)c(O)c1,100 g solvent dissolves. 0.76 g Substance.,-1.507550426,0.03107775,D,30,157.725,214.224,164,-723.2353309,-723.2400964,-0.004765411,-723.077627,-723.080515,-0.002888,2.2876,2.5326,-0.22222,0.08532,-0.095,0.06331,426.1807556,-1.39779,-1.23021,-0.69993,0.52243,-1.84026,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BQJCRHHNABKAKU-KBQPJGBKSA-N,MORPHIN,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,100 g solvent dissolves. 0.063 g Substance.,-2.713522567,0.001934093,C,20,214.713,285.343,252,-939.6478286,-939.6540179,-0.006189317,-939.355026,-939.361392,-0.006366,4.0239,4.6549,-0.20607,0.16542,-0.0149,0.04716,467.5788269,-2.03117,-2.57558,-0.76935,0.52261,-2.58739,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-nitro-phenol; 4-nitrophenol; p-nitrophenol,Oc1ccc(cc1)[N+]([O-])=O,13.3,-1.019509832,0.095607105,D,25,96.195,139.111,112,-511.9934732,-511.9994342,-0.005960972,-511.91952,-511.925735,-0.006215,5.6114,6.4874,-0.26792,0.07961,-0.10071,0.10901,295.6338501,-1.50347,-0.59466,-0.69106,0.52032,-1.00931,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BTQMNEKPMOZIDW-UHFFFAOYSA-N,Tri-isobutylacetohydroxamsaeure; Triisobutylacetohydroxamsaeure,CC(C)CC(CC(C)C)(CC(C)C)C(=O)NO,90.0543,-0.431798276,0.37,E,26,251.181,243.39,100.5,-756.1400795,-756.1436637,-0.003584197,-755.770387,-755.774662,-0.004275,3.1854,3.6676,-0.25041,0.17118,-0.00914,0.0915,495.1188965,-1.26897,-5.74989,-0.68072,0.66407,-1.61642,46,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
