StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
APZGKGHAXUURNO-UHFFFAOYSA-N,"1,3,5,7-tetramethyl-2,4,6,8,9,10- hexathiaadamantane; 1,3,5,7-tetramethyl-2,4,6,8,9,10-hexathiaadamantane; 1,3,5,7-tetramethyl-2,4,6,8,10-hexathiaadamantane; tetramethylhexathiaadamantane; tetramethyl-2,4,6,8,9,10-hexathia-adamantane; 1,3,5,7-Tetramethyl-2,4,6,8,9,10-hexathia-adamantan; 1,3,5,7-Tetramethyl-2,4,6,8,9,10-hexathiaadamantan",CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,Solubility: 45.0 weight-percent,0.117757985,F,20,253.62,300.579,232,0.035627139,0.025817551,-0.009809587,0.163512,0.153094,-0.010418,2.0518,3.3143,-0.32641,0.16393,-0.01639,0.1675,416.4179993,0,-1.730467,-0.507418,0.194129,-0.593775,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
AQKGLAJGQUIHSJ-ZDEMKHDWSA-N,"(1R)-1,9,11,11,12,12-hexamethyl-1,2,3,4,6,7,8,9-octahydro-1r,4c;6t,9t-dimethano-phenazine; (1R)-1,9,11,11,12,12-Hexamethyl-1,2,3,4,6,7,8,9-octahydro-1r,4c;6t,9t-dimethano-phenazin; (1R)-1,9,11,11,12,12-Hexamethyl-1,2,3,4,6,7,8,9-octahydro-1r,4r;6t,9t-dimethano-phenazin",[C@@H]45C3=NC1=C([C@H]2CC[C@@H]1C2(C)C)N=C3[C@@H](CC4)C5(C)C,100 g solvent dissolves. 13.5 g Substance.,-0.39912237,E,20,354.632,296.456,205.5,0.053690263,0.049158693,-0.004531569,0.367507,0.362543,-0.004964,0,0,-0.33136,0.176,-0.00432,0.17245,496.0450134,0,-3.113641,-0.53373,0.198664,-0.567057,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
ARQPAZGNIULDOE-AFYYWNPRSA-N,N-((1Xi:3R)-3-methyl-cyclohexyl)-naphthamide-(1); N-((1Xi:3R)-3-Methyl-cyclohexyl)-naphthamid-(1),C[C@@H]3CCCC(NC(=O)c1cccc2ccccc12)C3,105,-0.405925001,E,26,334.541,267.371,134,-0.047956395,-0.053216152,-0.005259757,0.231907,0.226532,-0.005375,3.9977,4.8594,-0.33275,0.15475,-0.02557,0.17384,519.9832153,-0.586397,-2.118442,-0.586397,0.604786,-1.104732,41,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
ASKWNDPFGDMSCK-UHFFFAOYSA-N,4-[(2-methylphenyl)azo]-phenol; 4-o-Tolylazo-phenol; 4'-Hydroxy-2-methyl-azobenzol; Toluol-(2azo4)-phenol; 4-o-Toluolazo-phenol,Cc1ccccc1N=Nc2ccc(O)cc2,100 g solvent dissolves. 21.85 g Substance.,-0.044894198,E,30,280.569,212.251,104,0.06668185,0.062745908,-0.003935942,0.229001,0.225067,-0.003934,1.0256,1.4322,-0.32114,0.14598,-0.03434,0.16223,450.0289612,-0.471787,-1.436181,-0.496364,0.364871,-0.753685,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AUHHYELHRWCWEZ-UHFFFAOYSA-N,"tetrachlorophthalic anhydride; 3,4,5,6-Tetrachlorophthalic anhydride; Tetrachlorophthalic anhydride; 4,5,6,7-tetrachloroisobenzofuran-1,3-dione; 3,4,5,6-Tetrachlorphthalsaeureanhydrid; 3,4,5,6-tetrachloro-phthalic anhydride; 1,2,3,4-tetrachlorophthalic anhydride",Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,100 g solvent dissolves. 4.0 g Substance.,-0.91164702,E,25,116.632,285.898,253,-0.152111581,-0.156621653,-0.004510072,-0.130242,-0.134999,-0.004757,4.5999,5.2944,-0.38508,0.08887,-0.09145,0.22617,374.8893433,-1.225686,1.076156,-0.485736,0.655812,-1.076155,15,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
AVCSMMMOCOTIHF-UHFFFAOYSA-N,"1,8-dinitronaphthalene; 1,8-dinitro-naphthalene; 1,8-Dinitro-naphthalin",[O-][N+](=O)c1cccc2cccc(c12)[N+]([O-])=O,100 g solvent dissolves. 0.750 g Substance.,-1.521227671,D,16,162.657,218.169,146,0.070120839,0.061786621,-0.008334217,0.175256,0.166344,-0.008912,9.4152,11.0729,-0.37714,0.10237,-0.07795,0.21823,372.1247253,-1.898163,-0.877167,-0.484902,0.857739,-0.182688,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
AVVYOFCWOUPHSM-SAPNQHFASA-N,[oxy-(4-chloro-phenyl)-imino-(seqcis)]-phenyl-acetonitrile; [Oxy-(4-chlor-phenyl)-imino-(seqcis)]-phenyl-acetonitril,N#C/C(c1ccccc1)=N(=O)/c2ccc(Cl)cc2,137.599,-0.270795364,E,26,236.782,256.691,132,0.144934792,0.140146818,-0.004787974,0.286524,0.281042,-0.005482,1.1613,1.1862,-0.33915,0.12432,-0.056,0.18024,465.2418213,-0.495948,-1.305772,-0.495948,0.566573,-0.219186,27,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BBEAQIROQSPTKN-UHFFFAOYSA-N,"pyrene; Pyrene; benzo[d,e,f]phenanthrene; benzo[def]phenanthrene; pyrene II; Pyren; mono-nitropyrenequinone",c1cc2ccc3cccc4ccc(c1)c2c34,111.243,-0.259626574,E,20,217.476,202.255,150,0.099048346,0.096992634,-0.002055712,0.259505,0.257167,-0.002338,0,0,-0.30668,0.14344,-0.03688,0.14777,390.1317749,0,-1.557699,-0.180655,0.157201,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BCAYFYHKUBCJIB-UHFFFAOYSA-N,4-(2-benzoylhydrazinyl)-4-oxobutanoic acid; N'-benzoyl-succinohydrazidic acid; succinic acid mono-(N'-benzoyl-hydrazide); Bernsteinsaeure-mono-(N'-benzoyl-hydrazid); Bernsteinsaeure-mono-benzhydrazid; Monobenzoyl-succinhydrazidsaeure; N2-Benzoylbernsteinsaeuremonohydrazid,OC(=O)CCC(=O)NNC(=O)c1ccccc1,0.0945,-3.397897726,B,25,217.311,236.227,170,-0.217585785,-0.221175356,-0.003589572,-0.061696,-0.063437,-0.001741,2.3064,2.9386,-0.36389,0.15714,-0.02318,0.20498,468.9960327,-2.223371,0.353392,-0.580728,0.656018,-2.943864,29,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BDDYZHKLKHFEBJ-UHFFFAOYSA-N,bis(benzoyloxy)methane; benzoic acid methylene diester; methylidene dibenzoate; Dibenzocarboxymethane; bismethylene benzoate; methylene dibenzoate; bis-benzoyloxy-methane,O=C(OCOC(=O)c1ccccc1)c2ccccc2,100 g solvent dissolves. 27 g Substance.,-0.034809562,E,24,247.791,256.258,101,-0.183014803,-0.188187333,-0.005172531,-0.009785,-0.015929,-0.006144,2.741,3.0152,-0.37264,0.152,-0.02832,0.21373,493.5971069,-2.020079,0.066486,-0.522161,0.658526,-2.020079,31,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
BDJRBEYXGGNYIS-UHFFFAOYSA-N,azelaic acid; Azelaic acid,OC(=O)CCCCCCCC(O)=O,100 g solvent dissolves. 9.2 mg Substance.,-3.368383065,B,25,217.463,188.224,107,-0.349075225,-0.355731101,-0.006655875,-0.168346,-0.17583,-0.007484,3.4806,4.0397,-0.41526,0.19839,0.01807,0.25635,443.3843079,-2.172884,-0.717159,-0.548596,0.661741,-2.172884,29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BEKZHETVNVFYCV-UHFFFAOYSA-N,"1,3,8-trinitronaphthalene; 1,3,8-trinitro-naphthalene; 1,3,8-Trinitro-naphthalin; 1,3,8-Trinitronaphthalin",[O-][N+](=O)c1cc2cccc(c2c(c1)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 0.407 g Substance.,-1.868131264,D,15,133.421,263.166,217.5,0.070411327,0.06042185,-0.009989477,0.174399,0.163833,-0.010566,8.1616,9.6459,-0.39929,0.07826,-0.10206,0.24038,410.5145569,-2.772861,-0.757043,-0.480272,0.865472,-0.187973,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,diphenyl-phosphinic acid; Diphenylphosphinic acid; diphenylphosphonic acid,O[P](=O)(c1ccccc1)c2ccccc2,Solubility: 0.07 molpercent,-2.105104492,C,19.99,180.883,218.192,199,-0.111714488,-0.125735574,-0.014021086,0.032435,0.01601,-0.016425,5.7603,4.2218,-0.36801,0.16534,-0.01498,0.2091,420.7353516,-1.592986,-1.842995,-0.871638,1.533344,-0.059642,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BFRVGQZWGWUHBQ-GDDAKTJHSA-N,"etioporphyrin II; 3,7,13,17-tetraethyl-2,8,12,18-tetramethylporphyrin; Etioporphyrin IV; etioporphyrin-II; ethioporphyn II; 2,8,12,18-tetraethyl-3,7,13,17-tetramethyl-porphyrin; 2,8,12,18-tetraethyl-3,7,13,17-tetramethyl-21H,23H-porphine",CCc1c(c2/cc/3\nc(/cc\4/c(c(/c(/[nH]4)c/c5n/c(c\c1[nH]2)/C(=C5C)CC)C)CC)C(=C3C)CC)C,0.765888,-2.795880925,C,25,633.853,478.681,366,0.140053113,0.151312557,0.011259444,0.649221,0.671583,0.022362,2.5121,0.0089,-0.27374,0.13568,-0.04464,0.11483,797.4389648,0,-4.988809,-0.470165,0.323921,-1.334189,74,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,"pyrazolsulfuron-ethyl; 5-[[(4,6-dimethoxypyrimidin-2-yl)aminocarbonyl]aminosulfonyl]-1-methyl-1H-pyrazole-4-carboxylic acid ethyl ester; ethyl 5-[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]-1-methyl-1H-pyrazole-4-carboxylate; 5-(4,6-dimethoxypyrimidin-2-ylaminocarbonylsulfamoyl)-1-methylpyrazole-4-carboxylic acid ethyl ester; ethyl-5-(N-(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl)-1-methyl-1H-pyrazole-4-carboxylate; ethyl 5-(4,6-dimethoxypyrimidin-2-ylcarbamoylaminosulfonyl)-1-methylpyrazole-4-carboxylate; 5-(4,6-dimethoxypyrimidinyl-2-carbamamido-1-methylpyrazole-4-carboxylic acid ethyl ester)",CCOC(=O)c1cnn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,15.6,-1.4242941,D,20,395.539,414.399,181.5,-0.333120383,-0.338859239,-0.005738856,-0.084029,-0.089866,-0.005837,2.7684,5.4555,-0.35653,0.14588,-0.03444,0.19762,656.8287964,-3.922744,0.53366,-0.934147,2.590424,-3.983993,46,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1
BIEBWMDQQCKEIN-UHFFFAOYSA-N,2-(2-chlorophenyl)-2-hydroxyacetamide; 2-chloro-mandelic acid-amide; 2-Chlor-mandelsaeure-amid; 2-Chlor-DL-mandelamid,NC(=O)C(O)c1ccccc1Cl,2.44,-1.881211544,D,22,155.437,185.61,87.5,-0.119156215,-0.124671244,-0.005515029,-0.019581,-0.025511,-0.00593,3.5302,4.0465,-0.36475,0.16029,-0.02003,0.20584,347.0042419,-1.104159,-0.001122,-0.57465,0.529013,-1.753739,20,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BIOPPFDHKHWJIA-UHFFFAOYSA-N,"9,10-Dicyanoanthracene; 9,10-dicyanoanthracene",N#Cc1c2ccccc2c(C#N)c3ccccc13,0.4,-2.756356503,C,20,212.732,228.253,335,0.20224207,0.197804455,-0.004437615,0.344903,0.340237,-0.004666,0.0002,0.0003,-0.33606,0.10076,-0.07956,0.17715,419.8648071,0,-0.871505,-0.226332,0.169772,-0.452664,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
BKYWPNROPGQIFZ-UHFFFAOYSA-N,"2,4-dimethyl-benzoic acid; 2, 4-dimethylbenzoic acid; 2,4-dimethylbenzoic acide; 2,4-Dimethylbenzoic acid; 2,4-Dimethyl-benzoesaeure; 2.4-Dimethyl-benzol-carbonsaeure-(1); asymm. m-Xylylsaeure",Cc1ccc(c(C)c1)C(O)=O,35.6,-0.625153426,E,20,154.807,150.177,121,-0.137232417,-0.140563158,-0.003330741,-0.020479,-0.02508,-0.004601,3.0684,3.5025,-0.35606,0.16181,-0.01851,0.19715,341.9759827,-1.113002,-0.85156,-0.562087,0.687975,-1.113002,21,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BOBLSBAZCVBABY-UHFFFAOYSA-N,"1,6-diphenyl-hexa-1,3,5-triene; alpha,omega-diphenylhexatriene; 1,6-diphenyl-1,3,5-hexatriene; 1,6-diphenylhexatriene; diphenylhexatriene; DPH; 1t,6t-diphenyl-hexa-1,3t,5-triene",C(=CC=Cc1ccccc1)C=Cc2ccccc2,8.6,-1.431597495,D,19,314.987,232.325,194,0.138052676,0.135496722,-0.002555953,0.35725,0.354754,-0.002496,0.0001,0.0005,-0.30887,0.14999,-0.03033,0.14996,523.8700562,0,-2.429128,-0.183561,0.156275,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
BPTKLSBRRJFNHJ-UHFFFAOYSA-N,"4-(phenylazo)-1,3-benzenediol",Oc1ccc(N=Nc2ccccc2)c(O)c1,100 g solvent dissolves. 0.76 g Substance.,-1.507550426,D,30,197.039,214.224,164,0.003583943,-0.000491851,-0.004075794,0.145892,0.1411,-0.004792,1.0023,1.1106,-0.32689,0.14157,-0.03875,0.16798,433.6734009,-0.912106,-0.8667,-0.550504,0.479552,-1.203006,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BQJCRHHNABKAKU-KBQPJGBKSA-N,MORPHIN,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,100 g solvent dissolves. 0.063 g Substance.,-2.713522567,C,20,308.663,285.343,252,-0.135342234,-0.141633765,-0.006291531,0.131922,0.125158,-0.006764,4.372,4.9074,-0.31731,0.17973,-0.00059,0.1584,463.5105591,-1.434796,-1.489368,-0.563395,0.338002,-1.7734,40,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-nitro-phenol; 4-nitrophenol; p-nitrophenol,Oc1ccc(cc1)[N+]([O-])=O,13.3,-1.019509832,D,25,106.754,139.111,112,-0.044308164,-0.05008237,-0.005774206,0.021681,0.015349,-0.006332,5.6954,6.6045,-0.37214,0.13139,-0.04893,0.21323,295.4686584,-1.449772,-0.499912,-0.503124,0.865683,-0.584089,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
BTQMNEKPMOZIDW-UHFFFAOYSA-N,Tri-isobutylacetohydroxamsaeure; Triisobutylacetohydroxamsaeure,CC(C)CC(CC(C)C)(CC(C)C)C(=O)NO,90.0543,-0.431798276,E,26,364.728,243.39,100.5,-0.186701849,-0.190570235,-0.003868386,0.141674,0.137276,-0.004398,3.3992,3.8407,-0.34574,0.19566,0.01534,0.18683,490.3148804,-0.93434,-3.435243,-0.538519,0.510368,-1.230187,46,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BWSFWXSSALIZAU-UHFFFAOYSA-N,p-chloromandelic acid; 2-(4'-chlorophenyl)-2-hydroxyethanoic acid; (rac)-2-(4-chlorophenyl)-2-hydroxyacetic acid; 2-(4-chlorophenyl)-2-hydroxy-acetic acid; 2-(4-chlorophenyl)-2-hydroxyacetic acid; (4-chlorophenyl)(hydroxy)acetic acid; (rac)-4-chloro-mandelic acid,OC(C(O)=O)c1ccc(Cl)cc1,4.7,-1.598802144,D,22,138.591,186.595,120,-0.189821573,-0.193708233,-0.003886659,-0.102506,-0.107215,-0.004709,1.2291,1.4179,-0.36032,0.15864,-0.02168,0.20141,355.9745789,-1.540985,0.061163,-0.514874,0.573511,-1.631066,19,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
BXRFQSNOROATLV-UHFFFAOYSA-N,4-nitrobenzaldehdye; 4-nitrobenzaldehyde; p-nitrobenzaldehyde,[O-][N+](=O)c1ccc(C=O)cc1,79.791,-0.277373785,E,26,123.529,151.122,105,-0.0088318,-0.014541071,-0.005709271,0.060731,0.054769,-0.005962,3.57,4.0363,-0.39846,0.1069,-0.07342,0.23955,314.9270935,-1.403509,-0.269886,-0.475501,0.826236,-0.577273,16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
