StdInChIKey,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,1st/2nd amine,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,alcohol,aldehyde,alkene,alkyne,amide,all aromatic,azo,unfused benzene ring,Br,carbonyl,carboxyl,Cl,aromatic C,ester,ether inc. ester,F,any halides,heterocyclic,H-bond acceptor,Acidic hydroxyl,H-bond donor,I,ketone,nitrile,nitro,aromatic N,aromatic O,P,at least 1 ring,S,sulfonamide,aromatic S,thioamide,thiol
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],100 g solvent dissolves. 1.67 g Substance.,-1.290243154,C,15,194.963,257.159,78.5,-0.035351548,-0.052784535,-0.017432986,0.07535,0.053113,-0.022237,3.0516,3.7222,-0.42603,0.18545,-0.0927,0.42624,417.6000671,-3.323922,-0.605345,-0.511046,0.901876,-0.635758,25,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,Solubility: 7.4 weight-percent,-0.711484813,D,20,269.543,300.579,232,0.035627139,0.00603384,-0.029593298,0.163512,0.133124,-0.030388,2.0518,0.0634,-0.32641,0.26176,-0.01639,0.32662,416.8251343,0,-1.784563,-0.518746,0.202279,-0.637059,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ASWVTGNCAZCNNR-UHFFFAOYSA-N,Cc1cc(C)nc(n1)NS(=O)(=O)c1ccc(cc1)N,Solubility: 0.001216 molpercent,-3.681525248,A,24.99,293.894,278.335,196.75,-0.060771269,-0.088273395,-0.027502126,0.124883,0.095535,-0.029348,8.4328,12.602,-0.3374,0.26769,-0.01046,0.33761,491.6179199,-1.970283,-1.161997,-0.995166,2.630778,-1.786376,33,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0
AXTHVITXCLTTHB-UHFFFAOYSA-N,c1c(cc(c(c1Cl)OP(=O)(O)Oc1c(cc(cc1Cl)Cl)Cl)Cl)Cl,106,-0.634478221,D,25,174.365,456.861,222,-0.349156631,-0.365074114,-0.015917483,-0.262127,-0.277385,-0.015258,1.576,2.7108,-0.36053,0.23167,-0.04648,0.36074,551.4616089,-2.633369,-0.260701,-0.804305,1.814982,-0.953554,28,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)N)O,0.7,-2.230886645,B,25,129.314,119.12,229.5,-0.234390707,-0.246213954,-0.011823247,-0.145251,-0.158694,-0.013443,3.03,5.3698,-0.36661,0.2873,0.00915,0.36682,289.5172424,-1.677544,0.124398,-0.589725,0.654796,-2.193956,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZQWKYJCGOJGHM-UHFFFAOYSA-N,C1=CC(=O)C=CC1=O,32,-0.528663663,D,18,100.998,108.097,114.375,-0.043631521,-0.052123832,-0.008492311,0.005537,-0.003695,-0.009232,0.0025,0.0034,-0.38928,0.20141,-0.07674,0.38949,264.2660217,-0.969132,0.183598,-0.484566,0.539007,-0.969132,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
BAQAVOSOZGMPRM-QBMZZYIRSA-N,C([C@@H]1[C@H]([C@@H]([C@@](CCl)(O1)O[C@@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)Cl)O)O)O)O)Cl,Solubility: 1.433 molpercent,-0.610212632,D,24.99,312.019,397.637,116.875,-0.63059191,-0.652340842,-0.021748932,-0.395042,-0.419951,-0.024909,6.9007,4.9681,-0.37682,0.28661,0.00846,0.37703,515.5032349,-4.311778,0.564673,-0.575652,0.465244,-4.74625,42,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,0.0461,-3.855481051,A,25,442.823,330.508,68.5,-0.413380768,-0.425051561,-0.011670793,0.019781,0.006438,-0.013343,4.2034,4.1188,-0.38864,0.29182,0.01367,0.38885,763.5466309,-2.205072,-3.599216,-0.585242,0.670431,-2.205072,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQDLDVSEDAYAA-AATRIKPKSA-N,c1ccc(c(c1)/C=C/C(=O)O)[N+](=O)[O-],2.07,-1.969944603,C,25,124.188,193.159,241.5,-0.086082451,-0.100937239,-0.014854788,0.012977,-0.002809,-0.015786,6.243,8.5352,-0.38999,0.21459,-0.06356,0.3902,378.939209,-2.107856,-0.22552,-0.570776,0.855998,-1.251858,21,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
BBUVDDPUURMFOX-SAABIXHNSA-N,C[C@H]1CC[C@@H](CC1)n1c2cnccc2c2cnc(Nc3ccc4CN(CCc4n3)C(=O)CO)nc12,1,-2.673538801,B,20,502.628,471.562,214,0.001533464,-0.017997265,-0.019530728,0.425167,0.403384,-0.021783,3.8324,9.7936,-0.32576,0.23503,-0.04312,0.32597,788.470459,-1.164172,-1.015335,-0.620492,0.543678,-4.025071,64,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O,Solubility: 5.416 molpercent,-0.032780167,D,23.1,235.261,188.224,106.175,-0.349075225,-0.363162108,-0.014086883,-0.168346,-0.184011,-0.015665,3.4806,4.7852,-0.41526,0.29622,0.01807,0.41547,443.594635,-2.243852,-0.692563,-0.576141,0.679004,-2.243852,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BDZVJQHQHIFHSH-UHFFFAOYSA-N,COc1ccc(cc1)C(c1ccccc1)(C(c1ccccc1)(c1ccc(cc1)OC)O)O,0.6,-2.851780004,B,25,453.876,426.512,170.5,-0.101828072,-0.119099106,-0.017271034,0.272558,0.254051,-0.018507,5.5185,5.7489,-0.32379,0.27675,-0.0014,0.324,679.5084839,-1.986892,-2.569383,-0.603712,0.353902,-1.986892,58,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BEKZHETVNVFYCV-UHFFFAOYSA-N,c1cc2cc(cc(c2c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0.46,-2.757471948,B,23,177.55,263.166,218,0.070411326,0.047218727,-0.023192599,0.174396,0.150241,-0.024155,8.1618,11.7136,-0.39929,0.17609,-0.10206,0.3995,409.5021667,-2.930012,-0.668838,-0.515452,0.879401,-0.298368,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,c1ccc(cc1)P(=O)(c1ccccc1)O,Solubility: 0.889 molpercent,-0.817557062,D,24.91,237.648,218.192,192.25,-0.111714447,-0.129562675,-0.017848229,0.032445,0.014496,-0.017949,5.7601,8.545,-0.368,0.26317,-0.01498,0.36821,419.7209167,-1.601661,-1.868935,-0.890102,1.542851,-0.05881,26,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
BGJVYSMLCJNCJV-UHFFFAOYSA-N,CCC(C)(CC)OC(=O)NC(=O)N,8.9,-1.325291914,C,18,269.708,188.227,152.75,-0.2579447,-0.277975294,-0.020030594,-0.080572,-0.102145,-0.021573,5.6945,7.9867,-0.39381,0.27987,0.00172,0.39402,408.3571777,-1.691551,-0.183799,-0.596944,0.779554,-2.853077,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BHXIVVULYOMXPF-UHFFFAOYSA-N,CCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.032 g Substance.,-3.14716535,A,20,485.483,354.452,161.75,-0.066113907,-0.086970176,-0.020856269,0.268158,0.246893,-0.021265,4.6916,5.9865,-0.28937,0.28125,0.0031,0.28958,669.6199951,-1.173029,-1.758543,-0.607587,0.718205,-2.694157,52,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BMDXUEGXLYOKJV-UHFFFAOYSA-N,Cc1cc(C)c(c(C)c1)C(=O)C(C(c1ccccc1)c1ccccc1)Br,2.14,-2.279553947,B,25,412.189,407.35,172,0.016075172,0.00264311,-0.013432061,0.331089,0.314707,-0.016382,1.9917,2.1002,-0.34292,0.25902,-0.01913,0.34313,613.5707397,-0.516117,-3.306229,-0.553577,0.615049,-0.650113,49,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
BMRYPQYWSJESHA-UHFFFAOYSA-N,C(C(=O)NCC(=O)O)NC(=O)N,0.201,-2.940199207,B,25,150.899,175.144,207.75,-0.280009244,-0.301648766,-0.021639522,-0.177134,-0.200295,-0.023161,2.7905,3.855,-0.36557,0.2717,-0.00645,0.36578,377.9295349,-2.341655,1.519165,-0.679192,0.711719,-3.897925,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOFXVYGDIRCHEQ-FPYZNPETSA-N,CO[C@@H]1[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O1)O)O)O,90,-0.36417146,D,20,194.903,208.168,111,-0.487278001,-0.500901708,-0.013623707,-0.348681,-0.365077,-0.016396,4.1023,4.7935,-0.39024,0.29005,0.0119,0.39045,380.7487793,-3.717466,0.994795,-0.583105,0.647506,-3.717466,26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BOJSVPWDUXGPEE-YXJPLFFZSA-N,CC(=Cc1ccco1)C=NNC(=O)N,1.64,-2.071174513,B,22,191.613,193.205,251,-0.025719873,-0.039912401,-0.014192528,0.109652,0.094555,-0.015097,2.7516,3.8872,-0.32044,0.25677,-0.02138,0.32065,428.0484924,-0.904973,-0.398177,-0.633312,0.696233,-1.965199,25,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
BOOLNDQTRIDYQF-UHFFFAOYSA-N,c1ccc(cc1)OC(=O)NC(=O)N,3.81,-1.674740629,C,20,189.392,180.163,182.5,-0.152220459,-0.170621519,-0.01840106,-0.048751,-0.067562,-0.018811,4.8355,7.3442,-0.34952,0.26173,-0.01642,0.34973,378.6118164,-1.56256,0.902004,-0.581382,0.762152,-2.683349,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,Cc1ccc(cc1)OP(=O)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,71,-0.715024726,D,25,334.643,368.369,76,-0.283512105,-0.297291375,-0.01377927,-0.000382,-0.021213,-0.020831,4.0722,5.4523,-0.3348,0.27695,-0.0012,0.33501,641.4898682,-2.630191,-2.84451,-0.834435,1.809068,-0.821123,47,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BOTZEHKIPCIHDX-UHFFFAOYSA-N,COc1ccc(cc1)c1cc(c2ccc(c(c2)OC)O)c(C#N)c(=O)[nH]1,Solubility: 0.06899 molpercent,-1.927672678,C,24.99,323.245,348.358,293.79,-0.106462279,-0.130247282,-0.023785003,0.136246,0.110522,-0.025724,9.0327,13.3453,-0.3271,0.23268,-0.04547,0.32731,613.8821411,-1.839071,-0.488739,-0.592192,0.656235,-2.593802,42,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
BQNWWHFSEXYHKU-UHFFFAOYSA-N,C(CCC(=O)O)CCNC(=O)N,1.317,-2.121462376,B,25,199.307,174.2,177,-0.252088435,-0.271885587,-0.019797152,-0.09637,-0.11835,-0.02198,2.3086,3.1227,-0.3579,0.29382,0.01567,0.35811,413.9230652,-1.810947,0.141348,-0.691065,0.705489,-2.950849,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BQSJTQLCZDPROO-UHFFFAOYSA-N,CC(C)COc1ccc(cc1C#N)c1nc(C)c(C(=O)O)s1,Solubility: 0.17652 molpercent,-1.519664904,C,24.99,332.091,316.381,206.5,-0.107128891,-0.124023091,-0.016894199,0.109731,0.087913,-0.021818,5.9851,7.237,-0.33936,0.21946,-0.05869,0.33957,579.1499634,-1.497575,-0.849723,-0.575724,0.739251,-2.059514,38,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0
BXRFQSNOROATLV-UHFFFAOYSA-N,c1cc(ccc1C=O)[N+](=O)[O-],56.821,-0.42481882,D,26,111.053,151.122,105.5,-0.008831942,-0.021351278,-0.012519336,0.060756,0.047254,-0.013502,3.5695,4.6012,-0.39845,0.20474,-0.07341,0.39866,314.9480286,-1.487138,-0.221323,-0.495939,0.838581,-0.648557,16,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(s1)S(=O)(=O)N,3.93,-1.752447265,C,25,146.742,222.249,259.25,-0.090016129,-0.126857169,-0.03684104,-0.021914,-0.058546,-0.036632,7.5539,12.0336,-0.36652,0.21936,-0.05879,0.36673,390.1697083,-2.476165,-0.386716,-0.989239,2.621053,-1.182163,19,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
CDZFBBLHHNZLCF-CSOYKPOESA-N,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=NNC(=O)N)[C@@]4(C)CC[C@H]23)C1,2,-2.287266367,B,20,444.937,387.522,280,-0.237933708,-0.258792485,-0.020858777,0.190856,0.167854,-0.023002,5.303,7.1483,-0.34005,0.29713,0.01898,0.34026,657.9196167,-1.755098,-2.646622,-0.652722,0.710091,-2.934126,61,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CFBBKHROQRFCNZ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1,1.1,-2.500740305,B,19,352.336,348.444,181.6,0.121590411,0.112558977,-0.009031434,0.425729,0.415602,-0.010127,3.0839,4.256,-0.33997,0.26209,-0.01606,0.34018,586.6923828,-0.51579,-2.673632,-0.51579,0.549704,-0.51579,47,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CFKGXXNWAGBBFU-UHFFFAOYSA-N,CCOC(=O)c1c(C)oc2cc3c(cc12)oc(C)c3C(=O)OCC,0.0495505,-3.823909179,A,20,329.839,330.337,184,-0.348284516,-0.363283345,-0.014998829,-0.10255,-0.120676,-0.018126,3.1631,0.0007,-0.32854,0.24388,-0.03427,0.32875,592.819397,-2.723805,-0.596887,-0.595886,0.730593,-2.723805,42,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CFWGPCJQHBUSSK-UHFFFAOYSA-N,COc1cc(ccc1O)c1cc(c2ccc(cc2)F)[nH]c(=O)c1C#N,Solubility: 0.0762 molpercent,-1.884503851,C,24.99,301.319,336.322,201.93,-0.115094542,-0.13623069,-0.021136148,0.094117,0.071153,-0.022964,5.5553,9.3105,-0.33042,0.22558,-0.05257,0.33063,575.7956543,-1.451963,-0.278319,-0.586465,0.653053,-2.350196,38,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,Solubility: 0.0817 mol/kg solvent,-1.190535841,C,24.99,133.987,176.126,190.5,-0.37051861,-0.383585831,-0.013067222,-0.2792,-0.29547,-0.01627,3.0803,3.9867,-0.35355,0.24518,-0.03297,0.35376,344.0288391,-2.89759,0.816786,-0.573425,0.641957,-2.89759,20,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CJGPZIZFKYDOBC-SFTDATJTSA-N,CCCCCCCC[C@H]([C@@H](CCCCCCCCCCCC(=O)O)[N+](=O)[O-])O,184,-0.338961823,D,18,527.383,401.587,122,-0.398524817,-0.416375161,-0.017850343,0.10485,0.08771,-0.01714,3.5195,6.3211,-0.39748,0.25266,-0.02549,0.39769,863.3463745,-2.69084,-4.784718,-0.581224,0.806829,-1.884011,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CJTCFFRJBBMUBJ-UHFFFAOYSA-N,CCCOC(=O)NC(=O)N,7.5,-1.28972567,C,17,174.12,146.146,175,-0.225446296,-0.245067719,-0.019621423,-0.118954,-0.137849,-0.018895,5.7235,7.9483,-0.39909,0.27292,-0.00523,0.3993,355.5345764,-1.643252,0.791772,-0.601686,0.757442,-2.779944,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CKDZWMVGDHGMFR-GTPODGLVSA-N,CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,4,-2.057621417,B,20,625.11,456.753,98.6,-0.297390574,-0.306413188,-0.009022614,0.348187,0.336266,-0.011921,2.4256,3.3081,-0.339,0.31206,0.03391,0.33921,827.7891235,-1.097795,-6.45582,-0.59364,0.673366,-1.097795,85,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CKEVMZSLVHLLBF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCc1ccccc1,100 g solvent dissolves. 3.30 g Substance.,-1.124014873,C,16,497.649,346.554,37.975,-0.221045637,-0.233306866,-0.012261229,0.23772,0.219656,-0.018064,2.101,2.4451,-0.35675,0.27581,-0.00234,0.35696,792.0153809,-1.040941,-4.409566,-0.577881,0.666936,-1.040941,63,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
