StdInChIKey,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,1st/2nd amine,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,alcohol,aldehyde,alkene,alkyne,amide,all aromatic,azo,unfused benzene ring,Br,carbonyl,carboxyl,Cl,aromatic C,ester,ether inc. ester,F,any halides,heterocyclic,H-bond acceptor,Acidic hydroxyl,H-bond donor,I,ketone,nitrile,nitro,aromatic N,aromatic O,P,at least 1 ring,S,sulfonamide,aromatic S,thioamide,thiol
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],100 g solvent dissolves. 1.67 g Substance.,-1.290243154,C,15,171.434,257.159,78.5,-999.6026522,-999.6176077,-0.0149555,-999.479773,-999.496883,-0.01711,2.8642,3.49,-0.31834,0.13682,-0.14133,0.31855,419.0314636,-2.81383,-0.56457,-0.71517,0.50626,-1.29584,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,Solubility: 7.4 weight-percent,-0.711484813,D,20,188.176,300.579,232,-2701.205184,-2701.214001,-0.00881729,-2701.05631,-2701.065482,-0.009172,0.0016,0.0021,-0.22845,0.24724,-0.03091,0.22866,418.727417,0,-5.11302,-0.71799,0.30815,1.84819,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ASWVTGNCAZCNNR-UHFFFAOYSA-N,Cc1cc(C)nc(n1)NS(=O)(=O)c1ccc(cc1)N,Solubility: 0.001216 molpercent,-3.681525248,A,24.99,183.526,278.335,196.75,-1233.343966,-1233.363858,-0.01989156,-1233.135718,-1233.156588,-0.02087,6.5006,9.3778,-0.22952,0.23183,-0.04632,0.22973,499.677124,-1.93503,-1.79566,-0.97799,2.33002,-2.43217,33,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0
AXTHVITXCLTTHB-UHFFFAOYSA-N,c1c(cc(c(c1Cl)OP(=O)(O)Oc1c(cc(cc1Cl)Cl)Cl)Cl)Cl,106,-0.634478221,D,25,268.706,456.861,222,-3863.798567,-3863.813413,-0.01484623,-3863.701168,-3863.718869,-0.017701,2.5662,4.3337,-0.27044,0.21815,-0.06,0.27065,563.0441284,-3.7237,-0.80612,-1.08773,2.60578,-0.89581,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)N)O,0.7,-2.230886645,B,25,103.161,119.12,229.5,-438.2849565,-438.301052,-0.016095517,-438.178571,-438.194833,-0.016262,4.1496,5.7514,-0.24919,0.26464,-0.01351,0.2494,288.5438538,-2.17516,-0.02041,-0.92829,0.83435,-3.10345,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZQWKYJCGOJGHM-UHFFFAOYSA-N,C1=CC(=O)C=CC1=O,32,-0.528663663,D,18,82.298,108.097,114.375,-381.4704581,-381.4799257,-0.009467571,-381.415921,-381.425452,-0.009531,0,0.0011,-0.28658,0.13302,-0.14513,0.28679,264.2065125,-1.09194,0.00886,-0.54597,0.48791,-1.09194,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
BAQAVOSOZGMPRM-QBMZZYIRSA-N,C([C@@H]1[C@H]([C@@H]([C@@](CCl)(O1)O[C@@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)Cl)O)O)O)O)Cl,Solubility: 1.433 molpercent,-0.610212632,D,24.99,210.806,397.637,116.875,-2451.07195,-2451.101522,-0.02957243,-2450.801912,-2450.831786,-0.029874,8.0322,11.1728,-0.27499,0.24706,-0.03109,0.2752,529.2998657,-5.76139,-0.18911,-0.79828,0.55094,-6.06019,42,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,0.0461,-3.855481051,A,25,307.934,330.508,68.5,-1047.85641,-1047.875357,-0.01894734,-1047.368198,-1047.386924,-0.018726,1.6806,1.8489,-0.27244,0.26773,-0.01042,0.27265,769.2820435,-2.80761,-6.65794,-0.79643,0.83985,-2.80761,61,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BBQDLDVSEDAYAA-AATRIKPKSA-N,c1ccc(c(c1)/C=C/C(=O)O)[N+](=O)[O-],2.07,-1.969944603,C,25,160.025,193.159,241.5,-702.7477562,-702.7628215,-0.015065306,-702.636275,-702.65161,-0.015335,6.0371,8.2137,-0.27486,0.16366,-0.11449,0.27507,377.8692627,-2.16244,-0.48814,-0.71885,0.78328,-1.66256,21,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
BBUVDDPUURMFOX-SAABIXHNSA-N,C[C@H]1CC[C@@H](CC1)n1c2cnccc2c2cnc(Nc3ccc4CN(CCc4n3)C(=O)CO)nc12,1,-2.673538801,B,20,365.369,471.562,214,-1542.036255,-1542.068681,-0.03242595,-1541.569489,-1541.601626,-0.032137,7.863,11.071,-0.22082,0.21376,-0.06439,0.22103,784.3034058,-1.46664,-2.6401,-0.78142,0.67857,-5.04462,64,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O,Solubility: 5.416 molpercent,-0.032780167,D,23.1,145.332,188.224,106.175,-653.5621289,-653.5768889,-0.014759925,-653.359246,-653.374727,-0.015481,3.0701,4.298,-0.29077,0.27045,-0.0077,0.29098,441.8735962,-2.76014,-1.78615,-0.72904,0.83192,-2.76014,29,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BDZVJQHQHIFHSH-UHFFFAOYSA-N,COc1ccc(cc1)C(c1ccccc1)(C(c1ccccc1)(c1ccc(cc1)OC)O)O,0.6,-2.851780004,B,25,286.304,426.512,170.5,-1383.518121,-1383.53354,-0.01541916,-1383.102921,-1383.118675,-0.015754,4.5138,6.1019,-0.22296,0.25135,-0.0268,0.22317,689.0872192,-2.66724,-4.30367,-0.78675,0.51902,-2.66724,58,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BEKZHETVNVFYCV-UHFFFAOYSA-N,c1cc2cc(cc(c2c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0.46,-2.757471948,B,23,158.131,263.166,218,-999.4069386,-999.4265299,-0.019591223,-999.295392,-999.315112,-0.01972,7.5763,10.5614,-0.29158,0.13511,-0.14304,0.29179,409.6800842,-2.31472,-0.64544,-0.39919,0.5067,-0.7988,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,c1ccc(cc1)P(=O)(c1ccccc1)O,Solubility: 0.889 molpercent,-0.817557062,D,24.91,146.237,218.192,192.25,-955.7763818,-955.7908686,-0.014486784,-955.616108,-955.630359,-0.014251,3.741,5.6778,-0.26256,0.22461,-0.05354,0.26277,420.8043213,-2.16818,-3.19876,-1.13181,2.22355,0.05537,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
BGJVYSMLCJNCJV-UHFFFAOYSA-N,CCC(C)(CC)OC(=O)NC(=O)N,8.9,-1.325291914,C,18,150.114,188.227,152.75,-649.7363339,-649.7557157,-0.019381847,-649.531141,-649.551582,-0.020441,5.3923,8.1181,-0.2725,0.26036,-0.01779,0.27271,407.9391785,-1.92111,-1.03732,-0.88298,0.95581,-3.51533,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BHXIVVULYOMXPF-UHFFFAOYSA-N,CCC(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.032 g Substance.,-3.14716535,A,20,303.436,354.452,161.75,-1147.298026,-1147.315581,-0.01755472,-1146.921399,-1146.938787,-0.017388,6.3801,9.2449,-0.18605,0.2574,-0.02075,0.18626,667.2189941,-1.32468,-3.14751,-0.68843,0.83639,-3.46116,52,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BMDXUEGXLYOKJV-UHFFFAOYSA-N,Cc1cc(C)c(c(C)c1)C(=O)C(C(c1ccccc1)c1ccccc1)Br,2.14,-2.279553947,B,25,302.396,407.35,172,-3575.402884,-3575.41518,-0.01229631,-3575.059002,-3575.071888,-0.012886,1.0709,1.4464,-0.23682,0.21888,-0.05927,0.23703,621.3734131,-0.55022,-5.27372,-0.70759,0.6135,-0.55578,49,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
BMRYPQYWSJESHA-UHFFFAOYSA-N,C(C(=O)NCC(=O)O)NC(=O)N,0.201,-2.940199207,B,25,111.081,175.144,207.75,-661.1862777,-661.2095342,-0.023256469,-661.065943,-661.091573,-0.02563,3.8965,5.0155,-0.25531,0.24372,-0.03443,0.25552,375.0614014,-2.79502,1.60115,-0.89574,0.82082,-5.03808,21,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOFXVYGDIRCHEQ-FPYZNPETSA-N,CO[C@@H]1[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O1)O)O)O,90,-0.36417146,D,20,137.798,208.168,111,-800.5342615,-800.5557571,-0.021495623,-800.36858,-800.390693,-0.022113,2.7318,3.4665,-0.28099,0.25957,-0.01858,0.2812,378.1317139,-4.94404,0.91502,-0.80099,0.82542,-4.94404,26,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BOJSVPWDUXGPEE-YXJPLFFZSA-N,CC(=Cc1ccco1)C=NNC(=O)N,1.64,-2.071174513,B,22,153.322,193.205,251,-664.2724604,-664.2876874,-0.015226979,-664.117752,-664.133611,-0.015859,5.2147,7.1212,-0.20975,0.20517,-0.07298,0.20996,417.3283997,-1.19842,-0.47336,-0.8876,0.79048,-2.85861,25,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
BOOLNDQTRIDYQF-UHFFFAOYSA-N,c1ccc(cc1)OC(=O)NC(=O)N,3.81,-1.674740629,C,20,127.279,180.163,182.5,-644.9021516,-644.924135,-0.021983359,-644.783401,-644.805546,-0.022145,5.1367,7.6563,-0.25592,0.25011,-0.02804,0.25613,379.6508789,-1.86548,0.79669,-0.87719,0.95202,-3.4504,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,Cc1ccc(cc1)OP(=O)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,71,-0.715024726,D,25,286.972,368.369,76,-1455.261171,-1455.273509,-0.01233771,-1454.950151,-1454.965116,-0.014965,3.1172,4.2387,-0.23793,0.25375,-0.0244,0.23814,654.7047119,-3.58271,-4.41296,-1.10207,2.62608,-0.95663,47,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BOTZEHKIPCIHDX-UHFFFAOYSA-N,COc1ccc(cc1)c1cc(c2ccc(c(c2)OC)O)c(C#N)c(=O)[nH]1,Solubility: 0.06899 molpercent,-1.927672678,C,24.99,273.425,348.358,293.79,-1182.188891,-1182.21446,-0.0255684,-1181.918628,-1181.944753,-0.026125,9.5649,13.6839,-0.22561,0.18915,-0.089,0.22582,603.135498,-2.50463,-0.99792,-0.71312,0.65815,-3.47217,42,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
BQNWWHFSEXYHKU-UHFFFAOYSA-N,C(CCC(=O)O)CCNC(=O)N,1.317,-2.121462376,B,25,159.015,174.2,177,-610.4234737,-610.4453803,-0.021906667,-610.247654,-610.269239,-0.021585,2.8795,3.8407,-0.25462,0.26398,-0.01417,0.25483,411.254425,-2.1366,-0.6052,-0.90008,0.83206,-3.72555,26,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BQSJTQLCZDPROO-UHFFFAOYSA-N,CC(C)COc1ccc(cc1C#N)c1nc(C)c(C(=O)O)s1,Solubility: 0.17652 molpercent,-1.519664904,C,24.99,232.011,316.381,206.5,-1352.752422,-1352.768383,-0.01596095,-1352.512042,-1352.528474,-0.016432,4.4505,5.7062,-0.23838,0.1853,-0.09285,0.23859,573.5858154,-1.89174,-2.03762,-0.72613,0.78716,-2.26881,38,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0
BXRFQSNOROATLV-UHFFFAOYSA-N,c1cc(ccc1C=O)[N+](=O)[O-],56.821,-0.42481882,D,26,103.717,151.122,105.5,-550.0955925,-550.1069952,-0.011402692,-550.018429,-550.029965,-0.011536,2.7058,3.5889,-0.29186,0.14707,-0.13108,0.29207,314.9484558,-1.36359,-0.43229,-0.57213,0.50113,-0.86246,16,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(s1)S(=O)(=O)N,3.93,-1.752447265,C,25,123.605,222.249,259.25,-1397.029095,-1397.052677,-0.02358204,-1396.947184,-1396.971375,-0.024191,5.5241,7.5513,-0.27589,0.20065,-0.0775,0.2761,381.4768677,-2.53645,-0.15932,-1.12165,2.29597,-2.05908,19,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
CDZFBBLHHNZLCF-CSOYKPOESA-N,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=NNC(=O)N)[C@@]4(C)CC[C@H]23)C1,2,-2.287266367,B,20,295.554,387.522,280,-1248.202521,-1248.222603,-0.02008149,-1247.727461,-1247.748096,-0.020635,5.4449,7.1299,-0.23799,0.25765,-0.0205,0.2382,657.2822266,-1.95549,-5.13965,-0.88927,0.82874,-3.65471,61,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CFBBKHROQRFCNZ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1,1.1,-2.500740305,B,19,272.086,348.444,181.6,-1078.054415,-1078.06471,-0.0102945,-1077.725303,-1077.735342,-0.010039,2.9384,4.2773,-0.23612,0.20696,-0.07119,0.23633,596.6660156,-0.5813,-4.50101,-0.5813,0.61198,-0.5813,47,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CFKGXXNWAGBBFU-UHFFFAOYSA-N,CCOC(=O)c1c(C)oc2cc3c(cc12)oc(C)c3C(=O)OCC,0.0495505,-3.823909179,A,20,253.523,330.337,184,-1148.185421,-1148.195885,-0.01046423,-1147.908061,-1147.920811,-0.01275,0.0011,0.0011,-0.21921,0.22251,-0.05564,0.21942,591.4075317,-3.3788,-1.22918,-0.74243,0.85314,-3.3788,42,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CFWGPCJQHBUSSK-UHFFFAOYSA-N,COc1cc(ccc1O)c1cc(c2ccc(cc2)F)[nH]c(=O)c1C#N,Solubility: 0.0762 molpercent,-1.884503851,C,24.99,269.352,336.322,201.93,-1166.901651,-1166.926049,-0.02439769,-1166.670337,-1166.694978,-0.024641,6.1977,9.4346,-0.2302,0.18111,-0.09704,0.23041,565.6964111,-1.96099,-0.54657,-0.71206,0.65877,-3.274,38,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,Solubility: 0.0817 mol/kg solvent,-1.190535841,C,24.99,135.502,176.126,190.5,-684.7859497,-684.8070492,-0.021099464,-684.675293,-684.697088,-0.021795,2.4245,3.6205,-0.24787,0.23181,-0.04634,0.24808,341.4615784,-4.18518,1.08902,-0.79702,0.7513,-4.18518,20,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CJGPZIZFKYDOBC-SFTDATJTSA-N,CCCCCCCC[C@H]([C@@H](CCCCCCCCCCCC(=O)O)[N+](=O)[O-])O,184,-0.338961823,D,18,340.695,401.587,122,-1295.070887,-1295.083896,-0.01300851,-1294.504068,-1294.516389,-0.012321,3.1581,4.0008,-0.27275,0.20227,-0.07588,0.27296,866.1789551,-2.92206,-8.14731,-0.77421,0.84817,-2.40099,71,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CJTCFFRJBBMUBJ-UHFFFAOYSA-N,CCCOC(=O)NC(=O)N,7.5,-1.28972567,C,17,123.56,146.146,175,-531.7927961,-531.8143231,-0.021526995,-531.669579,-531.68949,-0.019911,6.1927,8.3364,-0.27373,0.25722,-0.02093,0.27394,352.0835571,-1.91045,0.45229,-0.87605,0.95119,-3.49533,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CKDZWMVGDHGMFR-GTPODGLVSA-N,CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,4,-2.057621417,B,20,430.368,456.753,98.6,-1363.1459,-1363.152891,-0.00699046,-1362.433913,-1362.442097,-0.008184,2.0241,2.9328,-0.23725,0.27257,-0.00558,0.23746,832.6463013,-1.21803,-11.24593,-0.68986,0.84029,-1.21803,85,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
